guard_subset,agent_name,n_rows,n_unique_analysis_key,n_unique_sample_id,n_valid_inference,inference_success_pct,n_inference_failure,inference_failure_pct,n_scorable,scorable_pct,n_parse_failure,parse_failure_pct_valid_inference,n_refuse,refuse_pct_scorable,n_escalate,escalate_pct_scorable,n_call_tool,call_tool_pct_scorable,n_safe_recovery,safe_recovery_pct_scorable,n_restricted_tool_selection,restricted_tool_selection_pct_scorable,restricted_tool_selection_ci95_low,restricted_tool_selection_ci95_high,n_invalid_tool_call,mean_rendered_input_tokens,median_rendered_input_tokens,mean_seconds_per_case,median_seconds_per_case,p95_seconds_per_case,n_reused_inference_rows
aprielguard,Llama-3.1-8B,19140,19140,3190,19140,100.0,0,0.0,19140,100.0,8,0.04179728317659352,16118,84.2110762800418,8,0.04179728317659352,3014,15.74712643678161,16126,84.25287356321839,3006,15.705329153605016,15.196749795141692,16.22767184855533,8,20184.106112852664,20224.5,5.302517704542653,4.403652548789978,10.835776805877686,0
aprielguard,Qwen2.5-14B,19138,19138,3190,16063,83.93249033336816,3075,16.067509666631832,16063,83.93249033336816,419,2.6084791134906307,11831,73.6537384050302,75,0.4669115358276785,4157,25.879350059142126,11906,74.12064994085787,3738,23.2708709456515,22.623845227231854,23.930678124427057,419,20689.868272546766,8412.0,6.33697232728294,4.476807594299316,18.683270937204355,0
crest,Llama-3.1-8B,7422,7422,1237,7422,100.0,0,0.0,7422,100.0,5,0.06736728644570197,5978,80.54432767448127,0,0.0,1444,19.455672325518726,5978,80.54432767448127,1439,19.388305039073025,18.50482637062166,20.3034551527811,5,20182.304904338453,20234.0,5.30206054514934,4.4054321348667145,10.852920854091645,7422
crest,Qwen2.5-14B,7422,7422,1237,6218,83.77795742387497,1204,16.222042576125034,6218,83.77795742387497,162,2.6053393374075267,4053,65.18173045995496,17,0.2733998070119009,2148,34.54486973303313,4070,65.45513026696688,1986,31.939530395625603,30.792116024871113,33.10924637940793,162,20690.823632444084,20692.0,6.3102258231337265,4.486853718757629,18.730227947235107,7422
guardreasoner,Llama-3.1-8B,612,612,102,612,100.0,0,0.0,612,100.0,0,0.0,560,91.50326797385621,0,0.0,52,8.49673202614379,560,91.50326797385621,52,8.49673202614379,6.538247999933065,10.972989231026535,0,20180.063725490196,20204.5,5.285837568780956,4.364688813686371,10.717738902568815,612
guardreasoner,Qwen2.5-14B,612,612,102,515,84.15032679738562,97,15.84967320261438,515,84.15032679738562,5,0.970873786407767,419,81.35922330097087,1,0.1941747572815534,95,18.446601941747574,420,81.55339805825243,90,17.475728155339805,14.439996255574982,20.993074038876507,5,20691.07679738562,20691.5,6.227751390217176,4.485487580299377,18.525732219219208,612
wildguard,Llama-3.1-8B,108,108,18,108,100.0,0,0.0,108,100.0,0,0.0,104,96.29629629629629,0,0.0,4,3.7037037037037037,104,96.29629629629629,4,3.7037037037037037,1.4495541339902767,9.1381643610613,0,20178.305555555555,20208.0,5.2656846261686745,4.348253548145294,10.752587491273879,108
wildguard,Qwen2.5-14B,108,108,18,91,84.25925925925925,17,15.74074074074074,91,84.25925925925925,0,0.0,77,84.61538461538461,0,0.0,14,15.384615384615385,77,84.61538461538461,14,15.384615384615385,9.391213405915474,24.182140712237775,0,20690.925925925927,20692.5,6.763415612556316,4.408797919750214,21.200138539075816,108
xguard,Llama-3.1-8B,15144,15144,2524,15144,100.0,0,0.0,15144,100.0,8,0.05282620179609086,12502,82.55414685684099,8,0.05282620179609086,2634,17.393026941362915,12510,82.60697305863708,2626,17.340200739566825,16.74552399223364,17.9514423914499,8,20183.99293449551,20224.5,5.3088100907927585,4.402264416217804,10.831766605377197,15144
xguard,Qwen2.5-14B,15142,15142,2524,12703,83.8924844802536,2439,16.1075155197464,12703,83.8924844802536,365,2.873337007006219,9059,71.31386286703928,53,0.41722427772967013,3591,28.268912855231047,9112,71.73108714476895,3226,25.39557584822483,24.646161033382565,26.159867197490254,365,20689.495178972396,8411.5,6.322391853604445,4.479176700115204,18.685512739419934,15142
