guard_subset,context_length_name,n_rows,n_unique_analysis_key,n_unique_sample_id,n_valid_inference,inference_success_pct,n_inference_failure,inference_failure_pct,n_scorable,scorable_pct,n_parse_failure,parse_failure_pct_valid_inference,n_refuse,refuse_pct_scorable,n_escalate,escalate_pct_scorable,n_call_tool,call_tool_pct_scorable,n_safe_recovery,safe_recovery_pct_scorable,n_restricted_tool_selection,restricted_tool_selection_pct_scorable,restricted_tool_selection_ci95_low,restricted_tool_selection_ci95_high,n_invalid_tool_call,mean_rendered_input_tokens,median_rendered_input_tokens,mean_seconds_per_case,median_seconds_per_case,p95_seconds_per_case,n_reused_inference_rows
aprielguard,32k,19138,19138,3190,16063,83.93249033336816,3075,16.067509666631832,16063,83.93249033336816,276,1.718234451845857,12778,79.54927473074768,68,0.4233331258170952,3217,20.027392143435225,12846,79.97260785656478,2941,18.309157691589366,17.718683255343027,18.91478620351797,276,32563.278608005017,32366.0,8.130619401467833,8.534629762172699,19.546928387880318,0
aprielguard,8k,19140,19140,3190,19140,100.0,0,0.0,19140,100.0,151,0.7889237199582028,15171,79.26332288401254,15,0.07836990595611286,3954,20.65830721003135,15186,79.34169278996865,3803,19.869383490073144,19.310167537283817,20.440691636878388,151,8311.936468129572,8393.0,3.5090580542944565,3.7995423078536987,5.72650992274284,0
crest,32k,7422,7422,1237,6218,83.77795742387497,1204,16.222042576125034,6218,83.77795742387497,109,1.752975233193953,4672,75.13669990350596,13,0.20907044065615954,1533,24.65422965583789,4685,75.3457703441621,1424,22.901254422643937,21.87375199181757,23.962219202492484,109,32562.181487469683,32663.0,8.080676689073423,8.533433258533478,19.551390886306763,7422
crest,8k,7422,7422,1237,7422,100.0,0,0.0,7422,100.0,58,0.7814605227701428,5359,72.20425761250337,4,0.05389382915656157,2059,27.74184855834007,5363,72.25815144165993,2001,26.960388035569927,25.96294259994713,27.98167069451533,58,8310.947049312854,8393.0,3.531609679209643,3.816187024116516,5.870419144630432,7422
guardreasoner,32k,612,612,102,515,84.15032679738562,97,15.84967320261438,515,84.15032679738562,4,0.7766990291262136,446,86.60194174757281,1,0.1941747572815534,68,13.20388349514563,447,86.79611650485437,64,12.427184466019417,9.853187462812429,15.557553444509145,4,32561.277777777777,32619.0,7.978252569542212,8.574105381965637,18.76343464851379,612
guardreasoner,8k,612,612,102,612,100.0,0,0.0,612,100.0,1,0.16339869281045752,533,87.09150326797386,0,0.0,79,12.908496732026144,533,87.09150326797386,78,12.745098039215685,10.33346834663868,15.621500506348674,1,8309.862745098038,8356.5,3.53533638945592,3.803229033946991,5.475863778591151,612
wildguard,32k,108,108,18,91,84.25925925925925,17,15.74074074074074,91,84.25925925925925,0,0.0,82,90.10989010989012,0,0.0,9,9.89010989010989,82,90.10989010989012,9,9.89010989010989,5.290863981914177,17.738578091501488,0,32558.39814814815,32605.0,8.674691264828047,7.141343414783478,21.69743213057516,108
wildguard,8k,108,108,18,108,100.0,0,0.0,108,100.0,0,0.0,99,91.66666666666667,0,0.0,9,8.333333333333334,99,91.66666666666667,9,8.333333333333334,4.446040457498103,15.082906188048312,0,8310.833333333334,8351.0,3.354408973896945,3.5537205934524536,5.705119049549101,108
xguard,32k,15142,15142,2524,12703,83.8924844802536,2439,16.1075155197464,12703,83.8924844802536,232,1.8263402345902542,9872,77.71392584428875,48,0.3778634968117767,2783,21.908210658899474,9920,78.09178934110052,2551,20.08187042430922,19.39430361457518,20.787526585851047,232,32563.16160348699,32359.0,8.114133219256173,8.535804748535156,19.546412706375122,15142
xguard,8k,15144,15144,2524,15144,100.0,0,0.0,15144,100.0,141,0.9310618066561014,11689,77.18568409931326,13,0.08584257791864765,3442,22.728473322768092,11702,77.2715266772319,3301,21.797411516111993,21.14703989376991,22.462087365573478,141,8311.894611727417,8393.0,3.5173053523684015,3.803378999233246,5.730292099714272,15144
