guard_subset,context_length_name,unsafe_prompt_position,n_rows,n_unique_analysis_key,n_unique_sample_id,n_valid_inference,inference_success_pct,n_inference_failure,inference_failure_pct,n_scorable,scorable_pct,n_parse_failure,parse_failure_pct_valid_inference,n_refuse,refuse_pct_scorable,n_escalate,escalate_pct_scorable,n_call_tool,call_tool_pct_scorable,n_safe_recovery,safe_recovery_pct_scorable,n_restricted_tool_selection,restricted_tool_selection_pct_scorable,restricted_tool_selection_ci95_low,restricted_tool_selection_ci95_high,n_invalid_tool_call,mean_rendered_input_tokens,median_rendered_input_tokens,mean_seconds_per_case,median_seconds_per_case,p95_seconds_per_case,n_reused_inference_rows
aprielguard,32k,beginning,6380,6380,3190,6380,100.0,0,0.0,6380,100.0,191,2.993730407523511,4979,78.04075235109718,63,0.987460815047022,1338,20.9717868338558,5042,79.0282131661442,1147,17.978056426332287,17.05514466107706,18.939506422334734,191,32563.657680250784,32635.0,7.050061240203702,4.799693405628204,10.553792238235474,0
aprielguard,32k,end,6380,6380,3190,6380,100.0,0,0.0,6380,100.0,69,1.0815047021943573,5288,82.88401253918495,4,0.06269592476489028,1088,17.053291536050157,5292,82.94670846394985,1019,15.9717868338558,15.093367999224686,16.89115843351491,69,32563.529937304076,32631.0,13.648702277472026,10.54287338256836,20.397924304008484,0
aprielguard,32k,middle,6378,6378,3190,3303,51.787394167450614,3075,48.212605832549386,3303,51.787394167450614,16,0.48440811383590676,2511,76.02179836512262,1,0.030275507114744173,791,23.94792612776264,2512,76.05207387223736,775,23.463518013926734,22.04966648615087,24.939022816626736,16,32562.648008780183,32366.0,3.6917031769395137,4.680373430252075,10.700797176361066,0
aprielguard,8k,beginning,6380,6380,3190,6380,100.0,0,0.0,6380,100.0,23,0.3605015673981191,5091,79.7962382445141,6,0.09404388714733543,1283,20.109717868338556,5097,79.89028213166144,1260,19.74921630094044,18.79067270023686,20.744166551346478,23,8312.112852664577,8381.0,3.2686238162196166,3.055602729320526,4.296981036663055,0
aprielguard,8k,end,6380,6380,3190,6380,100.0,0,0.0,6380,100.0,15,0.23510971786833856,5283,82.80564263322884,6,0.09404388714733543,1091,17.100313479623825,5289,82.89968652037618,1076,16.865203761755485,15.96639421808109,17.803890848160968,15,8311.522413793104,8389.0,3.3482769790861675,3.0073594450950623,5.770803928375244,0
aprielguard,8k,middle,6380,6380,3190,6380,100.0,0,0.0,6380,100.0,113,1.7711598746081505,4797,75.18808777429467,3,0.047021943573667714,1580,24.764890282131663,4800,75.23510971786834,1467,22.99373040752351,21.97762741303325,24.042335297059022,113,8312.174137931035,8393.0,3.910273367577586,3.983445167541504,6.1338653564453125,0
crest,32k,beginning,2474,2474,1237,2474,100.0,0,0.0,2474,100.0,79,3.1932093775262733,1772,71.62489894907033,13,0.5254648342764754,689,27.84963621665319,1785,72.1503637833468,610,24.65642683912692,22.998193798813368,26.3932414144456,79,32562.045270816492,32627.5,7.050925795359292,4.8017578125,10.541720449924469,2474
crest,32k,end,2474,2474,1237,2474,100.0,0,0.0,2474,100.0,27,1.0913500404203718,1974,79.78981406628941,0,0.0,500,20.21018593371059,1974,79.78981406628941,473,19.118835893290218,17.617633792849695,20.71578965679919,27,32562.773645917543,32630.0,13.565211879359008,10.540506482124329,20.337532317638395,2474
crest,32k,middle,2474,2474,1237,1270,51.3338722716249,1204,48.6661277283751,1270,51.3338722716249,3,0.23622047244094488,926,72.91338582677166,0,0.0,344,27.086614173228348,926,72.91338582677166,341,26.8503937007874,24.48547748261083,29.354932096744303,3,32561.72554567502,32663.0,3.62589239250197,4.675814986228943,10.641717755794524,2474
crest,8k,beginning,2474,2474,1237,2474,100.0,0,0.0,2474,100.0,12,0.4850444624090542,1750,70.73565076798707,1,0.04042037186742118,723,29.223928860145513,1751,70.77607113985448,711,28.73888439773646,26.989685223926653,30.55400683695727,12,8311.126515763945,8376.0,3.28561526402024,3.073380410671234,4.300597429275513,2474
