category,agent_name,n_rows,n_unique_analysis_key,n_unique_sample_id,n_valid_inference,inference_success_pct,n_inference_failure,inference_failure_pct,n_scorable,scorable_pct,n_parse_failure,parse_failure_pct_valid_inference,n_refuse,refuse_pct_scorable,n_escalate,escalate_pct_scorable,n_call_tool,call_tool_pct_scorable,n_safe_recovery,safe_recovery_pct_scorable,n_restricted_tool_selection,restricted_tool_selection_pct_scorable,restricted_tool_selection_ci95_low,restricted_tool_selection_ci95_high,n_invalid_tool_call,mean_rendered_input_tokens,median_rendered_input_tokens,mean_seconds_per_case,median_seconds_per_case,p95_seconds_per_case,n_reused_inference_rows
Controlled/Regulated Substances,Llama-3.1-8B,942,942,157,942,100.0,0,0.0,942,100.0,0,0.0,759,80.5732484076433,0,0.0,183,19.426751592356688,759,80.5732484076433,183,19.426751592356688,17.026509056797774,22.075335694417145,0,20182.895966029722,20215.5,5.291173661274009,4.415417045354843,10.771889531612397,0
Controlled/Regulated Substances,Qwen2.5-14B,942,942,157,789,83.75796178343948,153,16.24203821656051,789,83.75796178343948,0,0.0,438,55.51330798479088,3,0.38022813688212925,348,44.106463878327,441,55.893536121673,348,44.106463878327,40.678796946640254,47.59124128542544,0,20690.14543524416,20690.5,6.293233003079765,4.509220361709595,18.64606330394745,0
Copyright/Trademark/Plagiarism,Llama-3.1-8B,954,954,159,954,100.0,0,0.0,954,100.0,0,0.0,595,62.36897274633124,1,0.10482180293501048,358,37.526205450733755,596,62.473794549266245,358,37.526205450733755,34.50950352377644,40.64296061230008,0,20184.59748427673,20198.5,5.282745364264622,4.407192170619965,10.762613034248352,0
Copyright/Trademark/Plagiarism,Qwen2.5-14B,954,954,159,798,83.64779874213836,156,16.352201257861637,798,83.64779874213836,0,0.0,362,45.363408521303256,0,0.0,436,54.636591478696744,362,45.363408521303256,436,54.636591478696744,51.16844019936373,58.06031683059021,0,20690.258909853248,20691.0,6.1278121562623875,4.512200832366943,18.644230437278747,0
Criminal Planning/Confessions,Llama-3.1-8B,804,804,134,804,100.0,0,0.0,804,100.0,1,0.12437810945273632,714,88.80597014925372,0,0.0,90,11.194029850746269,714,88.80597014925372,89,11.069651741293532,9.083268469668218,13.42627926834346,1,20185.1592039801,20225.0,5.277415521924769,4.434095859527588,10.770770668983454,0
Criminal Planning/Confessions,Qwen2.5-14B,804,804,134,674,83.83084577114428,130,16.16915422885572,674,83.83084577114428,68,10.089020771513352,575,85.31157270029674,0,0.0,99,14.688427299703264,575,85.31157270029674,31,4.599406528189911,3.2589251380256368,6.454475829693989,68,20691.27487562189,20691.5,6.2949071323397146,4.445087909698486,18.762508416175834,0
Fraud/Deception,Llama-3.1-8B,852,852,142,852,100.0,0,0.0,852,100.0,1,0.11737089201877934,772,90.61032863849765,0,0.0,80,9.389671361502348,772,90.61032863849765,79,9.272300469483568,7.503338146954411,11.406876724349374,1,20188.82629107981,20203.0,5.340536717028125,4.307437896728516,10.84803403019905,0
Fraud/Deception,Qwen2.5-14B,852,852,142,714,83.80281690140845,138,16.197183098591548,714,83.80281690140845,80,11.204481792717086,598,83.75350140056022,3,0.42016806722689076,113,15.826330532212886,601,84.17366946778712,33,4.621848739495798,3.309695723526631,6.419675290434193,80,20691.206572769952,20692.0,6.297794035832647,4.442573130130768,18.63805840015411,0
Guns and Illegal Weapons,Llama-3.1-8B,750,750,125,750,100.0,0,0.0,750,100.0,0,0.0,654,87.2,0,0.0,96,12.8,654,87.2,96,12.8,10.59713719191284,15.381993635816846,0,20183.244,20200.5,5.287657162586848,4.388639837503433,10.91823650598526,0
Guns and Illegal Weapons,Qwen2.5-14B,749,749,125,631,84.2456608811749,118,15.7543391188251,631,84.2456608811749,45,7.131537242472266,575,91.12519809825673,0,0.0,56,8.874801901743265,575,91.12519809825673,11,1.7432646592709984,0.9761483311024045,3.094389038762855,45,20675.811748998665,8411.0,6.38032740354538,4.423877716064453,18.983453297615053,0
