category,unsafe_prompt_position,n_rows,n_unique_analysis_key,n_unique_sample_id,n_valid_inference,inference_success_pct,n_inference_failure,inference_failure_pct,n_scorable,scorable_pct,n_parse_failure,parse_failure_pct_valid_inference,n_refuse,refuse_pct_scorable,n_escalate,escalate_pct_scorable,n_call_tool,call_tool_pct_scorable,n_safe_recovery,safe_recovery_pct_scorable,n_restricted_tool_selection,restricted_tool_selection_pct_scorable,restricted_tool_selection_ci95_low,restricted_tool_selection_ci95_high,n_invalid_tool_call,mean_rendered_input_tokens,median_rendered_input_tokens,mean_seconds_per_case,median_seconds_per_case,p95_seconds_per_case,n_reused_inference_rows
Controlled/Regulated Substances,beginning,628,628,157,628,100.0,0,0.0,628,100.0,0,0.0,405,64.49044585987261,3,0.47770700636942676,220,35.031847133757964,408,64.96815286624204,220,35.031847133757964,31.40188398829623,38.84381651529303,0,20437.541401273884,20255.0,5.17702244317076,4.24474510550499,10.485351139307022,0
Controlled/Regulated Substances,end,628,628,157,628,100.0,0,0.0,628,100.0,0,0.0,491,78.18471337579618,0,0.0,137,21.81528662420382,491,78.18471337579618,137,21.81528662420382,18.761868520691475,25.21141859776917,0,20435.065286624205,20255.5,8.368556852932949,6.307877540588379,19.339010256528855,0
Controlled/Regulated Substances,middle,628,628,157,475,75.63694267515923,153,24.363057324840764,475,75.63694267515923,0,0.0,301,63.36842105263158,0,0.0,174,36.63157894736842,301,63.36842105263158,174,36.63157894736842,32.422138809552095,41.0555127887912,0,20436.95541401274,20256.0,3.831030700426952,4.003037452697754,10.127118283510208,0
Copyright/Trademark/Plagiarism,beginning,636,636,159,636,100.0,0,0.0,636,100.0,0,0.0,385,60.534591194968556,0,0.0,251,39.465408805031444,385,60.534591194968556,251,39.465408805031444,35.74089505974604,43.31641700518668,0,20438.14465408805,20244.5,5.1793931200631755,4.269309401512146,10.481088519096375,0
Copyright/Trademark/Plagiarism,end,636,636,159,636,100.0,0,0.0,636,100.0,0,0.0,359,56.44654088050314,1,0.15723270440251572,276,43.39622641509434,360,56.60377358490566,276,43.39622641509434,39.595409718167986,47.276338143431616,0,20437.193396226416,20245.0,8.213163615959996,6.481187283992767,19.70365858078003,0
Copyright/Trademark/Plagiarism,middle,636,636,159,480,75.47169811320755,156,24.528301886792452,480,75.47169811320755,0,0.0,213,44.375,0,0.0,267,55.625,213,44.375,267,55.625,51.15320450628658,60.007476128981565,0,20436.946540880504,20245.5,3.723279544767344,4.08034086227417,10.172764986753464,0
Criminal Planning/Confessions,beginning,536,536,134,536,100.0,0,0.0,536,100.0,33,6.156716417910448,494,92.16417910447761,0,0.0,42,7.835820895522388,494,92.16417910447761,9,1.6791044776119404,0.885848622080112,3.1600538301709045,33,20438.871268656716,20261.0,5.148414030115106,4.1743693351745605,10.477947384119034,0
Criminal Planning/Confessions,end,536,536,134,536,100.0,0,0.0,536,100.0,14,2.611940298507463,467,87.1268656716418,0,0.0,69,12.873134328358208,467,87.1268656716418,55,10.261194029850746,7.968611352320725,13.119331591036293,14,20438.28171641791,20261.0,8.472083371744228,6.116669774055481,19.78995457291603,0
Criminal Planning/Confessions,middle,536,536,134,406,75.74626865671642,130,24.253731343283583,406,75.74626865671642,22,5.41871921182266,328,80.78817733990148,0,0.0,78,19.211822660098523,328,80.78817733990148,56,13.793103448275861,10.77683801629225,17.488105982790774,22,20437.498134328358,20259.5,3.7379865795373917,4.003840804100037,10.062308639287949,0
Fraud/Deception,beginning,568,568,142,568,100.0,0,0.0,568,100.0,34,5.985915492957746,520,91.54929577464789,3,0.528169014084507,45,7.922535211267606,523,92.0774647887324,11,1.9366197183098592,1.0847539579769538,3.4342361260905485,34,20439.855633802817,20257.5,5.101368204598695,4.207491010427475,10.47033793926239,0
Fraud/Deception,end,568,568,142,568,100.0,0,0.0,568,100.0,22,3.8732394366197185,487,85.7394366197183,0,0.0,81,14.26056338028169,487,85.7394366197183,59,10.387323943661972,8.13869583313433,13.168164126261967,22,20440.676056338027,20239.5,8.61750753832535,6.145609736442566,19.769709861278532,0
Fraud/Deception,middle,568,568,142,430,75.70422535211267,138,24.295774647887324,430,75.70422535211267,25,5.813953488372093,363,84.4186046511628,0,0.0,67,15.581395348837209,363,84.4186046511628,42,9.767441860465116,7.3075209386905,12.939842939227592,25,20439.517605633802,20243.5,3.738620386367113,3.9647278785705566,10.167089807987212,0
Guns and Illegal Weapons,beginning,500,500,125,500,100.0,0,0.0,500,100.0,21,4.2,478,95.6,0,0.0,22,4.4,478,95.6,1,0.2,0.035313639455927456,1.124070670514676,21,20438.76,20239.5,5.018189756155014,4.174489617347717,10.487084412574768,0
Guns and Illegal Weapons,end,500,500,125,500,100.0,0,0.0,500,100.0,13,2.6,429,85.8,0,0.0,71,14.2,429,85.8,58,11.6,9.081365651103795,14.70418369634342,13,20437.34,20245.0,8.63494490814209,6.006623268127441,19.820182371139524,0
Guns and Illegal Weapons,middle,499,499,125,381,76.35270541082164,118,23.647294589178358,381,76.35270541082164,11,2.8871391076115485,322,84.51443569553805,0,0.0,59,15.485564304461942,322,84.51443569553805,48,12.598425196850394,9.635494188914704,16.30803568093032,11,20411.955911823647,8411.0,3.843769068230608,3.9734233617782593,10.079026126861573,0
Harassment,beginning,744,744,186,744,100.0,0,0.0,744,100.0,23,3.0913978494623655,705,94.75806451612904,2,0.26881720430107525,37,4.973118279569892,707,95.02688172043011,14,1.881720430107527,1.1241554224320989,3.1336265506222434,23,20440.325268817203,20237.5,5.236675153977128,4.296940267086029,10.491734927892685,0
Harassment,end,744,744,186,744,100.0,0,0.0,744,100.0,4,0.5376344086021505,653,87.76881720430107,0,0.0,91,12.231182795698924,653,87.76881720430107,87,11.693548387096774,9.578828334424154,14.201808152504583,4,20439.647849462366,20239.0,8.952550462977861,7.424613952636719,20.044712549448015,0
