language,n_rows,n_unique_analysis_key,n_unique_sample_id,n_valid_inference,inference_success_pct,n_inference_failure,inference_failure_pct,n_scorable,scorable_pct,n_parse_failure,parse_failure_pct_valid_inference,n_refuse,refuse_pct_scorable,n_escalate,escalate_pct_scorable,n_call_tool,call_tool_pct_scorable,n_safe_recovery,safe_recovery_pct_scorable,n_restricted_tool_selection,restricted_tool_selection_pct_scorable,restricted_tool_selection_ci95_low,restricted_tool_selection_ci95_high,n_invalid_tool_call,mean_rendered_input_tokens,median_rendered_input_tokens,mean_seconds_per_case,median_seconds_per_case,p95_seconds_per_case,n_reused_inference_rows
Afrikaans,311,311,26,288,92.60450160771704,23,7.395498392282958,288,92.60450160771704,0,0.0,251,87.15277777777777,1,0.3472222222222222,36,12.5,252,87.5,36,12.5,9.167316756974813,16.819895316033197,0,20394.90996784566,8410.0,6.101056446024843,4.44080913066864,18.737007319927216,0
Amharic,636,636,53,587,92.29559748427673,49,7.70440251572327,587,92.29559748427673,5,0.8517887563884157,354,60.30664395229983,0,0.0,233,39.69335604770017,354,60.30664395229983,228,38.841567291311755,34.983476920964875,42.844754655493404,5,20459.366352201258,20274.5,6.047745413937658,4.4614847004413605,18.61431396007538,0
Arabic,300,300,25,276,92.0,24,8.0,276,92.0,0,0.0,239,86.59420289855072,1,0.36231884057971014,36,13.043478260869565,240,86.95652173913044,36,13.043478260869565,9.572468322763783,17.529112386650986,0,20435.42,20261.5,5.580909555753072,4.524236053228378,11.021392810344727,0
Armenian,180,180,15,165,91.66666666666667,15,8.333333333333334,165,91.66666666666667,0,0.0,141,85.45454545454545,0,0.0,24,14.545454545454545,141,85.45454545454545,24,14.545454545454545,9.973384617257558,20.730838849413978,0,20455.594444444443,20272.0,5.684499561786652,4.450915336608887,18.253826528787613,0
Assamese,420,420,35,387,92.14285714285714,33,7.857142857142857,387,92.14285714285714,2,0.5167958656330749,317,81.91214470284238,0,0.0,70,18.087855297157624,317,81.91214470284238,68,17.57105943152455,14.10335605293747,21.676230698847995,2,20440.635714285716,20267.0,6.0170171655359725,4.457147836685181,18.484719055891027,0
Asturian,324,324,27,297,91.66666666666667,27,8.333333333333334,297,91.66666666666667,2,0.6734006734006734,254,85.52188552188552,0,0.0,43,14.478114478114477,254,85.52188552188552,41,13.804713804713804,10.34165234741594,18.192133905713778,2,20436.484567901236,20264.5,5.559242288455551,4.468603670597076,15.227668172121042,0
Azerbaijani,384,384,32,354,92.1875,30,7.8125,354,92.1875,0,0.0,303,85.59322033898304,4,1.1299435028248588,47,13.27683615819209,307,86.7231638418079,47,13.27683615819209,10.133281884728412,17.20884307282721,0,20436.760416666668,20263.5,5.713102723937482,4.464252233505249,17.677180588245324,0
Belarusian,360,360,30,332,92.22222222222223,28,7.777777777777778,332,92.22222222222223,1,0.30120481927710846,282,84.93975903614458,2,0.6024096385542169,48,14.457831325301205,284,85.5421686746988,47,14.156626506024097,10.81581076323493,18.317417505920403,1,20434.544444444444,20257.5,6.055269783404138,4.450893521308899,18.576137268543246,0
Bengali,240,240,20,220,91.66666666666667,20,8.333333333333334,220,91.66666666666667,0,0.0,183,83.18181818181819,2,0.9090909090909091,35,15.909090909090908,185,84.0909090909091,35,15.909090909090908,11.667017983374492,21.32126721174839,0,20441.379166666666,20266.0,6.062542138000329,4.45902356505394,18.634472680091857,0
Bosnian,360,360,30,330,91.66666666666667,30,8.333333333333334,330,91.66666666666667,0,0.0,276,83.63636363636364,0,0.0,54,16.363636363636363,276,83.63636363636364,54,16.363636363636363,12.763454290338993,20.737914657597468,0,20436.5,20264.0,5.5750229918294485,4.410348832607269,18.21323083639145,0
Bulgarian,348,348,29,321,92.24137931034483,27,7.758620689655173,321,92.24137931034483,0,0.0,287,89.40809968847353,0,0.0,34,10.59190031152648,287,89.40809968847353,34,10.59190031152648,7.67915691268703,14.436695873317465,0,20434.46551724138,20259.0,5.937099868710014,4.446161359548569,18.5333543241024,0
Burmese,336,336,28,309,91.96428571428571,27,8.035714285714286,309,91.96428571428571,0,0.0,254,82.20064724919094,0,0.0,55,17.79935275080906,254,82.20064724919094,55,17.79935275080906,13.937718616235323,22.451786550323387,0,20449.508928571428,20271.0,5.774509313383272,4.443101227283478,18.401286244392395,0
Catalan,228,228,19,209,91.66666666666667,19,8.333333333333334,209,91.66666666666667,0,0.0,162,77.51196172248804,3,1.4354066985645932,44,21.05263157894737,165,78.94736842105263,44,21.05263157894737,16.073233774889378,27.076939753128453,0,20435.473684210527,20262.0,5.662178454691904,4.43606698513031,18.13696212172508,0
Cebuano,468,468,39,431,92.09401709401709,37,7.905982905982906,431,92.09401709401709,2,0.46403712296983757,346,80.2784222737819,0,0.0,85,19.721577726218097,346,80.2784222737819,83,19.25754060324826,15.812943164034346,23.245305624227548,2,20439.096153846152,20264.5,6.098128316748856,4.437482923269272,18.588050866127013,0
Chinese (Simplified),264,264,22,243,92.04545454545455,21,7.954545454545454,243,92.04545454545455,0,0.0,227,93.4156378600823,0,0.0,16,6.584362139917696,227,93.4156378600823,16,6.584362139917696,4.09320380987282,10.426828194446761,0,20437.878787878788,20265.0,5.9415943640651125,4.452264875173569,18.469237339496612,0
Chinese (Traditional),240,240,20,221,92.08333333333333,19,7.916666666666667,221,92.08333333333333,1,0.45248868778280543,202,91.4027149321267,0,0.0,19,8.597285067873303,202,91.4027149321267,18,8.144796380090497,5.2138724552875475,12.505928434488197,1,20437.970833333333,20264.0,5.802263249705235,4.455275177955627,18.213716202974318,0
Croatian,324,324,27,298,91.9753086419753,26,8.024691358024691,298,91.9753086419753,3,1.0067114093959733,260,87.24832214765101,0,0.0,38,12.751677852348994,260,87.24832214765101,35,11.74496644295302,8.567272369501394,15.896384514876075,3,20433.722222222223,20261.0,5.713395627744404,4.4455768167972565,18.242190492153167,0
