language,agent_name,n_rows,n_unique_analysis_key,n_unique_sample_id,n_valid_inference,inference_success_pct,n_inference_failure,inference_failure_pct,n_scorable,scorable_pct,n_parse_failure,parse_failure_pct_valid_inference,n_refuse,refuse_pct_scorable,n_escalate,escalate_pct_scorable,n_call_tool,call_tool_pct_scorable,n_safe_recovery,safe_recovery_pct_scorable,n_restricted_tool_selection,restricted_tool_selection_pct_scorable,restricted_tool_selection_ci95_low,restricted_tool_selection_ci95_high,n_invalid_tool_call,mean_rendered_input_tokens,median_rendered_input_tokens,mean_seconds_per_case,median_seconds_per_case,p95_seconds_per_case,n_reused_inference_rows
Afrikaans,Llama-3.1-8B,156,156,26,156,100.0,0,0.0,156,100.0,0,0.0,143,91.66666666666667,0,0.0,13,8.333333333333334,143,91.66666666666667,13,8.333333333333334,4.934565085423916,13.734845867693995,0,20178.21153846154,20197.5,5.345324357732748,4.310633182525635,15.010470658540726,0
Afrikaans,Qwen2.5-14B,155,155,26,132,85.16129032258064,23,14.838709677419354,132,85.16129032258064,0,0.0,108,81.81818181818181,1,0.7575757575757576,23,17.424242424242426,109,82.57575757575758,23,17.424242424242426,11.900531432191798,24.790372253172094,0,20613.006451612902,8410.0,6.861664225209144,4.4410868883132935,19.764968502521516,0
Amharic,Llama-3.1-8B,318,318,53,318,100.0,0,0.0,318,100.0,0,0.0,184,57.861635220125784,0,0.0,134,42.138364779874216,184,57.861635220125784,134,42.138364779874216,36.8367588878614,47.62764163306209,0,20226.540880503144,20252.0,5.414033540577258,4.440322190523148,11.656110578775321,0
Amharic,Qwen2.5-14B,318,318,53,269,84.59119496855345,49,15.40880503144654,269,84.59119496855345,5,1.858736059479554,170,63.19702602230483,0,0.0,99,36.80297397769517,170,63.19702602230483,94,34.94423791821561,29.494757798726067,40.817671862767725,5,20692.19182389937,20692.0,6.681457287298058,4.517471790313721,19.196888786554325,0
Arabic,Llama-3.1-8B,150,150,25,150,100.0,0,0.0,150,100.0,0,0.0,134,89.33333333333333,0,0.0,16,10.666666666666666,134,89.33333333333333,16,10.666666666666666,6.673036965207342,16.624622258414686,0,20180.573333333334,20214.0,5.117002140680949,4.1605048179626465,10.656035715341568,0
Arabic,Qwen2.5-14B,150,150,25,126,84.0,24,16.0,126,84.0,0,0.0,105,83.33333333333333,1,0.7936507936507936,20,15.873015873015873,106,84.12698412698413,20,15.873015873015873,10.516625713947375,23.24875186182172,0,20690.266666666666,20691.0,6.044816970825195,4.572297751903534,18.469197386503218,0
Armenian,Llama-3.1-8B,90,90,15,90,100.0,0,0.0,90,100.0,0,0.0,85,94.44444444444444,0,0.0,5,5.555555555555555,85,94.44444444444444,5,5.555555555555555,2.3960971616961966,12.353736221799517,0,20221.477777777778,20245.0,5.094139434893926,4.3630331158638,10.833887630701065,0
Armenian,Qwen2.5-14B,90,90,15,75,83.33333333333333,15,16.666666666666668,75,83.33333333333333,0,0.0,56,74.66666666666667,0,0.0,19,25.333333333333332,56,74.66666666666667,19,25.333333333333332,16.860049363552168,36.210326865599605,0,20689.71111111111,20690.0,6.274859688679377,4.549011588096619,18.493709760904313,0
Assamese,Llama-3.1-8B,210,210,35,210,100.0,0,0.0,210,100.0,0,0.0,183,87.14285714285714,0,0.0,27,12.857142857142858,183,87.14285714285714,27,12.857142857142858,8.98871223885522,18.06004581754868,0,20189.19523809524,20215.0,5.440059112367176,4.403272479772568,13.159965908527305,0
Assamese,Qwen2.5-14B,210,210,35,177,84.28571428571429,33,15.714285714285714,177,84.28571428571429,2,1.1299435028248588,134,75.70621468926554,0,0.0,43,24.293785310734464,134,75.70621468926554,41,23.163841807909606,17.558775120326946,29.909023127090794,2,20692.07619047619,20693.0,6.593975218704768,4.49284040927887,19.513010770082467,0
Asturian,Llama-3.1-8B,162,162,27,162,100.0,0,0.0,162,100.0,0,0.0,148,91.35802469135803,0,0.0,14,8.641975308641975,148,91.35802469135803,14,8.641975308641975,5.217549032912521,13.982389901006737,0,20180.882716049382,20217.5,5.174608624643749,4.395767480134964,10.568884229660034,0
Asturian,Qwen2.5-14B,162,162,27,135,83.33333333333333,27,16.666666666666668,135,83.33333333333333,2,1.4814814814814814,106,78.51851851851852,0,0.0,29,21.48148148148148,106,78.51851851851852,27,20.0,14.124989176665888,27.535087944385616,2,20692.086419753086,20692.5,5.943875952267352,4.4916380643844604,18.539014160633087,0
Azerbaijani,Llama-3.1-8B,192,192,32,192,100.0,0,0.0,192,100.0,0,0.0,168,87.5,0,0.0,24,12.5,168,87.5,24,12.5,8.545671788882409,17.92546416612415,0,20181.302083333332,20215.0,5.282926018039386,4.305473506450653,10.776568222045897,0
Azerbaijani,Qwen2.5-14B,192,192,32,162,84.375,30,15.625,162,84.375,0,0.0,135,83.33333333333333,4,2.4691358024691357,23,14.197530864197532,139,85.80246913580247,23,14.197530864197532,9.650495969871557,20.403182510237645,0,20692.21875,20692.5,6.1432794298355775,4.481796622276306,18.65156446695328,0
Belarusian,Llama-3.1-8B,180,180,30,180,100.0,0,0.0,180,100.0,0,0.0,159,88.33333333333333,0,0.0,21,11.666666666666666,159,88.33333333333333,21,11.666666666666666,7.758567104495453,17.17675440282821,0,20178.03888888889,20202.0,5.488590076896879,4.407753497362137,15.17052052021026,0
Belarusian,Qwen2.5-14B,180,180,30,152,84.44444444444444,28,15.555555555555555,152,84.44444444444444,1,0.6578947368421053,123,80.92105263157895,2,1.3157894736842106,27,17.763157894736842,125,82.23684210526316,26,17.105263157894736,11.948758336532714,23.88346451563104,1,20691.05,20691.0,6.6219494899113975,4.473417937755585,18.6636723279953,0
Bengali,Llama-3.1-8B,120,120,20,120,100.0,0,0.0,120,100.0,0,0.0,111,92.5,0,0.0,9,7.5,111,92.5,9,7.5,3.995711539596028,13.640917605993769,0,20191.933333333334,20216.5,5.298158633212249,4.428657591342926,11.105363714694958,0
Bengali,Qwen2.5-14B,120,120,20,100,83.33333333333333,20,16.666666666666668,100,83.33333333333333,0,0.0,72,72.0,2,2.0,26,26.0,74,74.0,26,26.0,18.404698464748133,35.37098944918718,0,20690.825,20691.5,6.82692564278841,4.468304812908173,18.65157418847084,0
Bosnian,Llama-3.1-8B,180,180,30,180,100.0,0,0.0,180,100.0,0,0.0,157,87.22222222222223,0,0.0,23,12.777777777777779,157,87.22222222222223,23,12.777777777777779,8.66749794785241,18.443611341867665,0,20180.955555555556,20217.5,5.214740595552656,4.409212052822113,10.669755709171294,0
Bosnian,Qwen2.5-14B,180,180,30,150,83.33333333333333,30,16.666666666666668,150,83.33333333333333,0,0.0,119,79.33333333333333,0,0.0,31,20.666666666666668,119,79.33333333333333,31,20.666666666666668,14.958894154996011,27.83936018126448,0,20692.044444444444,20692.5,5.93530538810624,4.4146716594696045,18.59066340327263,0
Bulgarian,Llama-3.1-8B,174,174,29,174,100.0,0,0.0,174,100.0,0,0.0,161,92.52873563218391,0,0.0,13,7.471264367816092,161,92.52873563218391,13,7.471264367816092,4.417947281230249,12.361862679045275,0,20178.816091954024,20208.0,5.207144056586014,4.431468069553375,10.804779523611069,0
Bulgarian,Qwen2.5-14B,174,174,29,147,84.48275862068965,27,15.517241379310345,147,84.48275862068965,0,0.0,126,85.71428571428571,0,0.0,21,14.285714285714286,126,85.71428571428571,21,14.285714285714286,9.537404484545025,20.853085755400258,0,20690.114942528737,20690.5,6.667055680834014,4.46198570728302,19.186640787124627,0
Burmese,Llama-3.1-8B,168,168,28,168,100.0,0,0.0,168,100.0,0,0.0,145,86.30952380952381,0,0.0,23,13.69047619047619,145,86.30952380952381,23,13.69047619047619,9.298940933738118,19.705386172621356,0,20207.10119047619,20235.5,5.194163400857222,4.382509112358093,10.761438184976578,0
Burmese,Qwen2.5-14B,168,168,28,141,83.92857142857143,27,16.071428571428573,141,83.92857142857143,0,0.0,109,77.30496453900709,0,0.0,32,22.69503546099291,109,77.30496453900709,32,22.69503546099291,16.559523090668993,30.278902435463117,0,20691.916666666668,20692.0,6.354855225909324,4.449191987514496,18.612105238437653,0
Catalan,Llama-3.1-8B,114,114,19,114,100.0,0,0.0,114,100.0,0,0.0,98,85.96491228070175,0,0.0,16,14.035087719298245,98,85.96491228070175,16,14.035087719298245,8.827406582745361,21.587575698855527,0,20181.19298245614,20202.5,5.287926845383226,4.358710676431656,14.698129886388779,0
Catalan,Qwen2.5-14B,114,114,19,95,83.33333333333333,19,16.666666666666668,95,83.33333333333333,0,0.0,64,67.36842105263158,3,3.1578947368421053,28,29.473684210526315,67,70.52631578947368,28,29.473684210526315,21.247932282989435,39.29494065178892,0,20689.754385964912,20690.0,6.036430064000581,4.43606698513031,18.522168719768523,0
Cebuano,Llama-3.1-8B,234,234,39,234,100.0,0,0.0,234,100.0,0,0.0,205,87.6068376068376,0,0.0,29,12.393162393162394,205,87.6068376068376,29,12.393162393162394,8.769149309464794,17.231977292821846,0,20185.273504273504,20221.0,5.369299444887373,4.3411054611206055,14.99001737833023,0
Cebuano,Qwen2.5-14B,234,234,39,197,84.1880341880342,37,15.811965811965813,197,84.1880341880342,2,1.015228426395939,141,71.57360406091371,0,0.0,56,28.426395939086294,141,71.57360406091371,54,27.411167512690355,21.659033724853177,34.02740645408577,2,20692.918803418805,20693.5,6.826957188610338,4.473001837730408,19.10924259424209,0
Chinese (Simplified),Llama-3.1-8B,132,132,22,132,100.0,0,0.0,132,100.0,0,0.0,129,97.72727272727273,0,0.0,3,2.272727272727273,129,97.72727272727273,3,2.272727272727273,0.7758984185518892,6.468913957678919,0,20182.916666666668,20193.5,5.2725234564506644,4.415091782808304,10.67721192836761,0
Chinese (Simplified),Qwen2.5-14B,132,132,22,111,84.0909090909091,21,15.909090909090908,111,84.0909090909091,0,0.0,98,88.28828828828829,0,0.0,13,11.711711711711711,98,88.28828828828829,13,11.711711711711711,6.973492668842574,19.011425258128916,0,20692.840909090908,20693.0,6.610665271679561,4.486062049865723,18.47306274175644,0
Chinese (Traditional),Llama-3.1-8B,120,120,20,120,100.0,0,0.0,120,100.0,0,0.0,115,95.83333333333333,0,0.0,5,4.166666666666667,115,95.83333333333333,5,4.166666666666667,1.7926716880109514,9.384085233703535,0,20183.866666666665,20214.5,5.243541742861271,4.278899133205414,10.522590398788452,0
Chinese (Traditional),Qwen2.5-14B,120,120,20,101,84.16666666666667,19,15.833333333333334,101,84.16666666666667,1,0.9900990099009901,87,86.13861386138613,0,0.0,14,13.861386138613861,87,86.13861386138613,13,12.871287128712872,7.678714443671886,20.784699892951096,1,20692.075,20692.5,6.3609847565491995,4.509172141551971,18.507028436660768,0
Croatian,Llama-3.1-8B,162,162,27,162,100.0,0,0.0,162,100.0,0,0.0,148,91.35802469135803,0,0.0,14,8.641975308641975,148,91.35802469135803,14,8.641975308641975,5.217549032912521,13.982389901006737,0,20177.333333333332,20215.5,5.310589237713519,4.4191456735134125,10.880192577838898,0
Croatian,Qwen2.5-14B,162,162,27,136,83.95061728395062,26,16.049382716049383,136,83.95061728395062,3,2.2058823529411766,112,82.3529411764706,0,0.0,24,17.647058823529413,112,82.3529411764706,21,15.441176470588236,10.326798450326717,22.454223148906184,3,20690.11111111111,20690.0,6.116202017775288,4.478888630867004,18.588964778184888,0
Czech,Llama-3.1-8B,156,156,26,156,100.0,0,0.0,156,100.0,0,0.0,142,91.02564102564102,0,0.0,14,8.974358974358974,142,91.02564102564102,14,8.974358974358974,5.421101444877175,14.49954933973123,0,20175.115384615383,20188.0,5.146890449600342,4.327650427818298,10.670887500047684,0
Czech,Qwen2.5-14B,156,156,26,130,83.33333333333333,26,16.666666666666668,130,83.33333333333333,0,0.0,114,87.6923076923077,4,3.076923076923077,12,9.23076923076923,118,90.76923076923077,12,9.23076923076923,5.359342492594261,15.442477112490149,0,20690.26282051282,20691.0,5.8075424165297775,4.487353146076202,18.40844687819481,0
Danish,Llama-3.1-8B,204,204,34,204,100.0,0,0.0,204,100.0,0,0.0,199,97.54901960784314,0,0.0,5,2.450980392156863,199,97.54901960784314,5,2.450980392156863,1.0513534215853018,5.608270168063971,0,20180.225490196077,20189.5,5.044599167564336,4.414353370666504,10.566986781358718,0
Danish,Qwen2.5-14B,204,204,34,172,84.31372549019608,32,15.686274509803921,172,84.31372549019608,1,0.5813953488372093,152,88.37209302325581,1,0.5813953488372093,19,11.046511627906977,153,88.95348837209302,18,10.465116279069768,6.722757369593735,15.934845159352834,1,20690.024509803923,20690.5,6.448263417272007,4.490597486495972,18.737328857183456,0
Dutch,Llama-3.1-8B,138,138,23,138,100.0,0,0.0,138,100.0,0,0.0,121,87.68115942028986,0,0.0,17,12.318840579710145,121,87.68115942028986,17,12.318840579710145,7.835319925772358,18.843381164386766,0,20178.77536231884,20211.0,5.21191439334897,4.162682235240936,10.73433250784874,0
Dutch,Qwen2.5-14B,138,138,23,115,83.33333333333333,23,16.666666666666668,115,83.33333333333333,5,4.3478260869565215,90,78.26086956521739,0,0.0,25,21.73913043478261,90,78.26086956521739,20,17.391304347826086,11.54967751728355,25.341033229410776,5,20689.920289855072,20690.0,6.169812688792962,4.519380807876587,18.582909208536147,0
English,Llama-3.1-8B,60,60,10,60,100.0,0,0.0,60,100.0,0,0.0,56,93.33333333333333,0,0.0,4,6.666666666666667,56,93.33333333333333,4,6.666666666666667,2.622869872450621,15.92535731319717,0,20178.016666666666,20184.5,5.47505110402902,4.348253548145294,18.930816638469697,0
English,Qwen2.5-14B,60,60,10,51,85.0,9,15.0,51,85.0,2,3.9215686274509802,33,64.70588235294117,0,0.0,18,35.294117647058826,33,64.70588235294117,16,31.372549019607842,20.32767846552545,45.02699953069435,2,20690.316666666666,20690.5,7.253395374615987,4.422903209924698,22.56716319322586,0
Estonian,Llama-3.1-8B,174,174,29,174,100.0,0,0.0,174,100.0,0,0.0,158,90.80459770114942,0,0.0,16,9.195402298850574,158,90.80459770114942,16,9.195402298850574,5.739413705063323,14.41418774330914,0,20177.7183908046,20206.5,5.398439147349062,4.3744648694992065,12.15110282301901,0
Estonian,Qwen2.5-14B,174,174,29,146,83.9080459770115,28,16.091954022988507,146,83.9080459770115,0,0.0,130,89.04109589041096,0,0.0,16,10.95890410958904,130,89.04109589041096,16,10.95890410958904,6.859008773127459,17.060578704716942,0,20691.2816091954,20692.0,6.412033588721834,4.456038415431976,18.50246379375458,0
Filipino (Tagalog),Llama-3.1-8B,156,156,26,156,100.0,0,0.0,156,100.0,0,0.0,146,93.58974358974359,2,1.2820512820512822,8,5.128205128205129,148,94.87179487179488,8,5.128205128205129,2.6211493454316686,9.792062450233773,0,20179.22435897436,20193.0,5.5103981131926565,4.293679416179657,14.907220095396042,0
Filipino (Tagalog),Qwen2.5-14B,156,156,26,132,84.61538461538461,24,15.384615384615385,132,84.61538461538461,1,0.7575757575757576,110,83.33333333333333,1,0.7575757575757576,21,15.909090909090908,111,84.0909090909091,20,15.151515151515152,10.027481254369539,22.24650873462439,1,20692.94871794872,20693.5,6.892054485586973,4.473924458026886,18.955804765224457,0
Finnish,Llama-3.1-8B,168,168,28,168,100.0,0,0.0,168,100.0,0,0.0,163,97.02380952380952,0,0.0,5,2.9761904761904763,163,97.02380952380952,5,2.9761904761904763,1.2778123776847279,6.7769719076004815,0,20176.67261904762,20209.0,5.400639770641213,4.419216752052307,10.859309369325638,0
Finnish,Qwen2.5-14B,168,168,28,143,85.11904761904762,25,14.880952380952381,143,85.11904761904762,0,0.0,123,86.01398601398601,3,2.097902097902098,17,11.888111888111888,126,88.1118881118881,17,11.888111888111888,7.556270475062815,18.214012062719487,0,20690.23214285714,20690.5,6.443262529869874,4.400755405426025,21.71238163113596,0
French,Llama-3.1-8B,114,114,19,114,100.0,0,0.0,114,100.0,0,0.0,109,95.6140350877193,0,0.0,5,4.385964912280702,109,95.6140350877193,5,4.385964912280702,1.8877509553328058,9.858080231087834,0,20181.166666666668,20214.0,5.007397278359062,4.340718507766724,10.576592582464217,0
French,Qwen2.5-14B,114,114,19,95,83.33333333333333,19,16.666666666666668,95,83.33333333333333,1,1.0526315789473684,74,77.89473684210526,0,0.0,21,22.105263157894736,74,77.89473684210526,20,21.05263157894737,14.062186006515981,30.293147619453503,1,20690.0,20690.5,5.481355116555565,4.506873548030853,13.211367714405016,0
Fula,Llama-3.1-8B,288,288,48,288,100.0,0,0.0,288,100.0,0,0.0,211,73.26388888888889,0,0.0,77,26.73611111111111,211,73.26388888888889,77,26.73611111111111,21.95538516958524,32.12927417200305,0,20186.135416666668,20217.5,5.421289196030961,4.362143844366074,10.782732570171355,0
Fula,Qwen2.5-14B,288,288,48,242,84.02777777777777,46,15.972222222222221,242,84.02777777777777,19,7.851239669421488,167,69.00826446280992,0,0.0,75,30.99173553719008,167,69.00826446280992,56,23.140495867768596,18.271755347114517,28.848636541376415,19,20691.413194444445,20691.5,6.383768414664599,4.446368306875229,18.96543090939521,0
Galician,Llama-3.1-8B,132,132,22,132,100.0,0,0.0,132,100.0,0,0.0,112,84.84848484848484,0,0.0,20,15.151515151515152,112,84.84848484848484,20,15.151515151515152,10.027481254369539,22.24650873462439,0,20179.363636363636,20205.5,5.266586287906676,4.4289825558662415,10.850641459226608,0
Galician,Qwen2.5-14B,132,132,22,111,84.0909090909091,21,15.909090909090908,111,84.0909090909091,0,0.0,86,77.47747747747748,2,1.8018018018018018,23,20.72072072072072,88,79.27927927927928,23,20.72072072072072,14.222917155917592,29.177314200001785,0,20691.098484848484,20691.5,6.36864319850098,4.420752942562103,18.501307243108748,0
Ganda,Llama-3.1-8B,366,366,61,366,100.0,0,0.0,366,100.0,1,0.273224043715847,275,75.13661202185793,0,0.0,91,24.863387978142075,275,75.13661202185793,90,24.59016393442623,20.457470290196188,29.25070991407447,1,20182.5,20216.0,5.484375815736792,4.414920270442963,14.865022540092468,0
Ganda,Qwen2.5-14B,366,366,61,309,84.42622950819673,57,15.573770491803279,309,84.42622950819673,28,9.06148867313916,175,56.63430420711974,0,0.0,134,43.36569579288026,175,56.63430420711974,106,34.3042071197411,29.232893457120163,39.76098594567479,28,20691.311475409835,20691.5,6.593405030464214,4.509910404682159,19.698721945285797,0
Georgian,Llama-3.1-8B,162,162,27,162,100.0,0,0.0,162,100.0,0,0.0,138,85.18518518518519,0,0.0,24,14.814814814814815,138,85.18518518518519,24,14.814814814814815,10.162049434854747,21.09760010594223,0,20227.25925925926,20262.0,5.231650387799299,4.367110967636108,10.65576965212822,0
Georgian,Qwen2.5-14B,162,162,27,137,84.5679012345679,25,15.432098765432098,137,84.5679012345679,1,0.7299270072992701,104,75.91240875912409,2,1.4598540145985401,31,22.62773722627737,106,77.37226277372262,30,21.8978102189781,15.791516994358638,29.53708110115738,1,20690.33950617284,20691.0,6.070923017866818,4.466916084289551,18.415207189321517,0
German,Llama-3.1-8B,132,132,22,132,100.0,0,0.0,132,100.0,0,0.0,121,91.66666666666667,0,0.0,11,8.333333333333334,121,91.66666666666667,11,8.333333333333334,4.716796636561071,14.306452263322967,0,20179.878787878788,20208.5,5.1486210908853645,4.308678686618805,10.538259333372116,0
German,Qwen2.5-14B,132,132,22,111,84.0909090909091,21,15.909090909090908,111,84.0909090909091,1,0.9009009009009009,85,76.57657657657657,1,0.9009009009009009,25,22.52252252252252,86,77.47747747747748,24,21.62162162162162,14.982211898849629,30.159550799964542,1,20689.863636363636,20690.0,6.453676674853671,4.418872594833374,18.580944037437437,0
Greek,Llama-3.1-8B,162,162,27,162,100.0,0,0.0,162,100.0,0,0.0,156,96.29629629629629,0,0.0,6,3.7037037037037037,156,96.29629629629629,6,3.7037037037037037,1.7082991141909623,7.843871334226115,0,20149.04938271605,20172.0,5.140632747132101,4.344608038663864,10.709280353784559,0
Greek,Qwen2.5-14B,162,162,27,137,84.5679012345679,25,15.432098765432098,137,84.5679012345679,0,0.0,114,83.21167883211679,1,0.7299270072992701,22,16.05839416058394,115,83.94160583941606,22,16.05839416058394,10.850401063157399,23.11790572753077,0,20690.12962962963,20690.5,6.263870735963185,4.5133668184280396,18.58001410961151,0
Gujarati,Llama-3.1-8B,156,156,26,156,100.0,0,0.0,156,100.0,0,0.0,136,87.17948717948718,0,0.0,20,12.820512820512821,136,87.17948717948718,20,12.820512820512821,8.454799299726478,18.973290473824882,0,20194.44871794872,20207.0,5.486351701693657,4.420584291219711,16.492295295000076,0
Gujarati,Qwen2.5-14B,156,156,26,132,84.61538461538461,24,15.384615384615385,132,84.61538461538461,1,0.7575757575757576,109,82.57575757575758,1,0.7575757575757576,22,16.666666666666668,110,83.33333333333333,21,15.909090909090908,10.647288808477345,23.099005745973233,1,20690.9358974359,20691.5,7.018433364155965,4.482637941837311,22.755019903182983,0
Hausa,Llama-3.1-8B,210,210,35,210,100.0,0,0.0,210,100.0,0,0.0,179,85.23809523809524,0,0.0,31,14.761904761904763,179,85.23809523809524,31,14.761904761904763,10.598627365052597,20.19122002179213,0,20179.842857142856,20193.5,5.283315399998711,4.260435223579407,10.960920703411102,0
Hausa,Qwen2.5-14B,210,210,35,178,84.76190476190476,32,15.238095238095237,178,84.76190476190476,15,8.426966292134832,113,63.48314606741573,0,0.0,65,36.51685393258427,113,63.48314606741573,50,28.089887640449437,22.003985425612253,35.101506080088676,15,20691.347619047618,20691.5,6.552442800147193,4.410748720169067,19.51656860113143,0
Hebrew,Llama-3.1-8B,150,150,25,150,100.0,0,0.0,150,100.0,0,0.0,138,92.0,0,0.0,12,8.0,138,92.0,12,8.0,4.635364151865291,13.462136375053147,0,20204.9,20218.0,5.3235550570487975,4.348630636930466,10.677158641815184,0
Hebrew,Qwen2.5-14B,150,150,25,126,84.0,24,16.0,126,84.0,0,0.0,102,80.95238095238095,4,3.1746031746031744,20,15.873015873015873,106,84.12698412698413,20,15.873015873015873,10.516625713947375,23.24875186182172,0,20690.113333333335,20690.5,6.102628384033839,4.465160667896271,18.573631000518798,0
Hindi,Llama-3.1-8B,138,138,23,138,100.0,0,0.0,138,100.0,0,0.0,124,89.85507246376811,1,0.7246376811594203,13,9.420289855072463,125,90.57971014492753,13,9.420289855072463,5.588053401488235,15.45054777252928,0,20156.681159420288,20157.0,5.283052395219388,4.310298502445221,10.794119215011596,0
Hindi,Qwen2.5-14B,138,138,23,116,84.05797101449275,22,15.942028985507246,116,84.05797101449275,0,0.0,87,75.0,0,0.0,29,25.0,87,75.0,29,25.0,18.007494444227508,33.59523088075442,0,20689.840579710144,20689.5,6.266295899515566,4.433421313762665,18.552113699913026,0
Hungarian,Llama-3.1-8B,138,138,23,138,100.0,0,0.0,138,100.0,0,0.0,133,96.3768115942029,0,0.0,5,3.6231884057971016,133,96.3768115942029,5,3.6231884057971016,1.5573587425422892,8.201042599192016,0,20181.036231884056,20214.5,5.283633229093275,4.433570295572281,10.562384378910064,0
Hungarian,Qwen2.5-14B,138,138,23,115,83.33333333333333,23,16.666666666666668,115,83.33333333333333,1,0.8695652173913043,99,86.08695652173913,0,0.0,16,13.91304347826087,99,86.08695652173913,15,13.043478260869565,8.066384692772067,20.409754153481508,1,20689.891304347828,20690.0,5.93908955178399,4.450714290142059,18.553005343675615,0
Icelandic,Llama-3.1-8B,228,228,38,228,100.0,0,0.0,228,100.0,0,0.0,193,84.64912280701755,0,0.0,35,15.350877192982455,193,84.64912280701755,35,15.350877192982455,11.24947580601665,20.60050443319631,0,20181.263157894737,20209.5,5.180851422380983,4.383946061134338,10.834198826551436,0
