language,context_length_name,n_rows,n_unique_analysis_key,n_unique_sample_id,n_valid_inference,inference_success_pct,n_inference_failure,inference_failure_pct,n_scorable,scorable_pct,n_parse_failure,parse_failure_pct_valid_inference,n_refuse,refuse_pct_scorable,n_escalate,escalate_pct_scorable,n_call_tool,call_tool_pct_scorable,n_safe_recovery,safe_recovery_pct_scorable,n_restricted_tool_selection,restricted_tool_selection_pct_scorable,restricted_tool_selection_ci95_low,restricted_tool_selection_ci95_high,n_invalid_tool_call,mean_rendered_input_tokens,median_rendered_input_tokens,mean_seconds_per_case,median_seconds_per_case,p95_seconds_per_case,n_reused_inference_rows
Afrikaans,32k,155,155,26,132,85.16129032258064,23,14.838709677419354,132,85.16129032258064,0,0.0,115,87.12121212121212,1,0.7575757575757576,16,12.121212121212121,116,87.87878787878788,16,12.121212121212121,7.600416870979284,18.784354856188028,0,32558.645161290322,32236.0,8.924408533111695,8.536700367927551,19.764968502521516,0
Afrikaans,8k,156,156,26,156,100.0,0,0.0,156,100.0,0,0.0,136,87.17948717948718,0,0.0,20,12.820512820512821,136,87.17948717948718,20,12.820512820512821,8.454799299726478,18.973290473824882,0,8309.147435897436,8341.0,3.2958027697526493,3.559826672077179,4.713404983282089,0
Amharic,32k,318,318,53,269,84.59119496855345,49,15.40880503144654,269,84.59119496855345,3,1.1152416356877324,163,60.594795539033456,0,0.0,106,39.405204460966544,163,60.594795539033456,103,38.28996282527881,32.68463677987351,44.22503073462167,3,32584.229559748426,32646.0,8.630360052083274,8.565276324748993,19.81631363034248,0
Amharic,8k,318,318,53,318,100.0,0,0.0,318,100.0,2,0.6289308176100629,191,60.062893081761004,0,0.0,127,39.937106918238996,191,60.062893081761004,125,39.308176100628934,34.09804767835231,44.77353703010363,2,8334.503144654089,8383.5,3.4651307757920438,3.724093973636627,5.8638232648372615,0
Arabic,32k,150,150,25,126,84.0,24,16.0,126,84.0,0,0.0,111,88.0952380952381,1,0.7936507936507936,14,11.11111111111111,112,88.88888888888889,14,11.11111111111111,6.734979672470168,17.78835756503415,0,32561.48,32615.0,7.54078383843104,7.158780157566071,18.581575781106945,0
Arabic,8k,150,150,25,150,100.0,0,0.0,150,100.0,0,0.0,128,85.33333333333333,0,0.0,22,14.666666666666666,128,85.33333333333333,22,14.666666666666666,9.88943721258812,21.20846005608929,0,8309.36,8357.0,3.621035273075104,3.796621322631836,6.013303411006927,0
Armenian,32k,90,90,15,75,83.33333333333333,15,16.666666666666668,75,83.33333333333333,0,0.0,66,88.0,0,0.0,9,12.0,66,88.0,9,12.0,6.443371823944514,21.25964020474873,0,32581.744444444445,32629.0,7.791325279739168,8.5260568857193,18.493709760904313,0
Armenian,8k,90,90,15,90,100.0,0,0.0,90,100.0,0,0.0,75,83.33333333333333,0,0.0,15,16.666666666666668,75,83.33333333333333,15,16.666666666666668,10.368488734312978,25.693886303308812,0,8329.444444444445,8377.5,3.5776738438341353,3.885577440261841,4.929051518440247,0
Assamese,32k,210,210,35,177,84.28571428571429,33,15.714285714285714,177,84.28571428571429,2,1.1299435028248588,143,80.7909604519774,0,0.0,34,19.2090395480226,143,80.7909604519774,32,18.07909604519774,13.107335306542106,24.406993135123205,2,32566.609523809522,32631.0,8.561796954699926,8.57327389717102,19.720500481128692,0
Assamese,8k,210,210,35,210,100.0,0,0.0,210,100.0,0,0.0,174,82.85714285714286,0,0.0,36,17.142857142857142,174,82.85714285714286,36,17.142857142857142,12.647371901631626,22.81883714826413,0,8314.661904761904,8354.5,3.4722373763720196,3.7713674306869507,5.404096752405165,0
Asturian,32k,162,162,27,135,83.33333333333333,27,16.666666666666668,135,83.33333333333333,2,1.4814814814814814,111,82.22222222222223,0,0.0,24,17.77777777777778,111,82.22222222222223,22,16.296296296296298,11.015087164704164,23.442530341662337,2,32562.697530864196,32607.0,7.532582131800829,8.534241378307343,18.619602620601654,0
Asturian,8k,162,162,27,162,100.0,0,0.0,162,100.0,0,0.0,143,88.27160493827161,0,0.0,19,11.728395061728396,143,88.27160493827161,19,11.728395061728396,7.638288684850059,17.591505552508057,0,8310.271604938273,8359.5,3.585902445110274,3.9006428122520447,4.967684698104858,0
Azerbaijani,32k,192,192,32,162,84.375,30,15.625,162,84.375,0,0.0,136,83.95061728395062,3,1.8518518518518519,23,14.197530864197532,139,85.80246913580247,23,14.197530864197532,9.650495969871557,20.403182510237645,0,32563.359375,32606.0,7.915510136634111,8.535455703735352,18.92697811722755,0
Azerbaijani,8k,192,192,32,192,100.0,0,0.0,192,100.0,0,0.0,167,86.97916666666667,1,0.5208333333333334,24,12.5,168,87.5,24,12.5,8.545671788882409,17.92546416612415,0,8310.161458333334,8358.0,3.510695311240852,3.83512943983078,5.225126683712004,0
