language,n_total_rows,n_valid_inference,inference_success_pct,n_scorable,scorable_pct,n_restricted_tool_selection,restricted_tool_selection_pct,ci95_low,ci95_high,risk_rank,risk_group,distance_from_median,global_median_risk_pct
Oromo,324,299,92.28395061728395,299,92.28395061728395,127,42.474916387959865,37.002370956692445,48.13836896206367,1,Highest-risk,,15.111683734095248
Somali,432,398,92.12962962962963,398,92.12962962962963,165,41.45728643216081,36.72147090453055,46.356432455773984,2,Highest-risk,,15.111683734095248
Amharic,636,587,92.29559748427673,587,92.29559748427673,228,38.841567291311755,34.983476920964875,42.844754655493404,3,Highest-risk,,15.111683734095248
Zulu,684,628,91.81286549707602,628,91.81286549707602,226,35.98726114649681,32.32907365616519,39.81583745357795,4,Highest-risk,,15.111683734095248
Xhosa,336,310,92.26190476190476,310,92.26190476190476,106,34.193548387096776,29.135390683370847,39.63865199147219,5,Highest-risk,,15.111683734095248
Yoruba,732,675,92.21311475409836,675,92.21311475409836,229,33.925925925925924,30.454123909679016,37.57964934026663,6,Highest-risk,,15.111683734095248
Shona,696,639,91.8103448275862,639,91.8103448275862,203,31.768388106416275,28.276647980311655,35.47802328382191,7,Highest-risk,,15.111683734095248
Nyanja,744,684,91.93548387096774,684,91.93548387096774,214,31.28654970760234,27.924481747292536,34.85763952249649,8,Highest-risk,,15.111683734095248
Lingala,744,683,91.8010752688172,683,91.8010752688172,207,30.307467057101025,26.978776551109757,33.85643562989739,9,Highest-risk,,15.111683734095248
Wolof,515,474,92.03883495145631,474,92.03883495145631,141,29.746835443037973,25.80759567293629,34.011713335149096,10,Highest-risk,,15.111683734095248
Northern Sotho,720,661,91.80555555555556,661,91.80555555555556,195,29.500756429652043,26.150625262402105,33.08777715601748,11,Highest-risk,,15.111683734095248
Ganda,732,675,92.21311475409836,675,92.21311475409836,196,29.037037037037038,25.73887675985108,32.5724496444559,12,Highest-risk,,15.111683734095248
Lao,576,532,92.36111111111111,532,92.36111111111111,144,27.06766917293233,23.466510247455247,30.997632833782436,13,Highest-risk,,15.111683734095248
