guard_subset,tier,n_rows,n_unique_analysis_key,n_unique_sample_id,n_valid_inference,inference_success_pct,n_inference_failure,inference_failure_pct,n_scorable,scorable_pct,n_parse_failure,parse_failure_pct_valid_inference,n_refuse,refuse_pct_scorable,n_escalate,escalate_pct_scorable,n_call_tool,call_tool_pct_scorable,n_safe_recovery,safe_recovery_pct_scorable,n_restricted_tool_selection,restricted_tool_selection_pct_scorable,restricted_tool_selection_ci95_low,restricted_tool_selection_ci95_high,n_invalid_tool_call,mean_rendered_input_tokens,median_rendered_input_tokens,mean_seconds_per_case,median_seconds_per_case,p95_seconds_per_case,n_reused_inference_rows
aprielguard,high,2820,2820,235,2591,91.87943262411348,229,8.120567375886525,2591,91.87943262411348,12,0.46314164415283676,2288,88.30567348514087,4,0.1543805480509456,299,11.539945966808181,2292,88.46005403319182,287,11.076804322655345,9.925496530891454,12.343357577956954,12,20435.121985815604,20260.5,5.7050279997130655,4.449216216802597,18.271728813648224,0
aprielguard,low,29482,29482,2457,27115,91.97137236279764,2367,8.02862763720236,27115,91.97137236279764,404,1.4899502120597454,20793,76.68449197860963,47,0.1733357919970496,6275,23.142172229393324,20840,76.85782777060668,5871,21.652222017333578,21.166016827429708,22.14645828938703,404,20437.850383284716,8412.0,5.823309097500461,4.452085375785828,18.404748558998108,0
aprielguard,medium,5976,5976,498,5497,91.98460508701473,479,8.015394912985274,5497,91.98460508701473,11,0.20010915044569766,4868,88.55739494269602,32,0.5821357103874841,597,10.8604693469165,4900,89.1395306530835,586,10.660360196470803,9.871837006375708,11.50382829179812,11,20433.524263721552,20236.5,5.85612240508498,4.450110167264938,18.506006240844727,0
crest,high,1476,1476,123,1355,91.80216802168022,121,8.197831978319783,1355,91.80216802168022,10,0.7380073800738007,1108,81.77121771217712,0,0.0,247,18.228782287822877,1108,81.77121771217712,237,17.490774907749078,15.56073741170126,19.60462023314137,10,20435.00406504065,20262.5,5.6438180031330605,4.4472596347332,18.213206380605698,1476
crest,low,10944,10944,912,10057,91.89510233918129,887,8.104897660818713,10057,91.89510233918129,148,1.4716118126677935,7118,70.77657353087402,13,0.12926319976136025,2926,29.09416326936462,7131,70.90583673063537,2778,27.62255145669683,26.757349608936753,28.50484174530812,148,20437.43850511696,20250.5,5.813439788040841,4.456689655780792,18.397703516483308,10944
crest,medium,2424,2424,202,2228,91.91419141914191,196,8.085808580858085,2228,91.91419141914191,9,0.40394973070017953,1805,81.01436265709157,4,0.17953321364452424,419,18.806104129263915,1809,81.19389587073609,410,18.402154398563734,16.847976312910966,20.06510528456111,9,20433.56724422442,20245.5,5.872041671804272,4.455223321914673,18.479112803936005,2424
guardreasoner,high,132,132,11,122,92.42424242424242,10,7.575757575757576,122,92.42424242424242,0,0.0,115,94.26229508196721,1,0.819672131147541,6,4.918032786885246,116,95.08196721311475,6,4.918032786885246,2.273217015009757,10.315208905311074,0,20433.984848484848,20263.5,5.691114823926579,4.454808086156845,18.294126284122466,132
guardreasoner,low,840,840,70,773,92.02380952380952,67,7.976190476190476,773,92.02380952380952,5,0.6468305304010349,657,84.99353169469599,0,0.0,116,15.00646830530401,657,84.99353169469599,111,14.359637774902975,12.063589639557563,17.008167056273148,5,20436.841666666667,20253.5,5.773421857754389,4.464441359043121,18.308834904432295,840
guardreasoner,medium,252,252,21,232,92.06349206349206,20,7.936507936507937,232,92.06349206349206,0,0.0,207,89.22413793103448,0,0.0,25,10.775862068965518,207,89.22413793103448,25,10.775862068965518,7.406158801954549,15.423355181686802,0,20432.1626984127,20254.0,5.735773514424052,4.449635535478592,18.150599229335782,252
wildguard,high,48,48,4,44,91.66666666666667,4,8.333333333333334,44,91.66666666666667,0,0.0,39,88.63636363636364,0,0.0,5,11.363636363636363,39,88.63636363636364,5,11.363636363636363,4.952780601092492,23.979152416608287,0,20431.645833333332,20261.5,5.398136521379153,4.361282706260681,13.61482633352279,48
wildguard,low,132,132,11,122,92.42424242424242,10,7.575757575757576,122,92.42424242424242,0,0.0,111,90.98360655737704,0,0.0,11,9.01639344262295,111,90.98360655737704,11,9.01639344262295,5.109254384260639,15.425678270576482,0,20436.295454545456,20263.0,6.439616530682102,4.419960677623749,19.812809288501736,132
wildguard,medium,36,36,3,33,91.66666666666667,3,8.333333333333334,33,91.66666666666667,0,0.0,31,93.93939393939394,0,0.0,2,6.0606060606060606,31,93.93939393939394,2,6.0606060606060606,1.6780883087191876,19.60624480864781,0,20432.416666666668,20261.5,5.277858075168398,4.431244909763336,10.54859745502472,36
xguard,high,2052,2052,171,1884,91.81286549707602,168,8.187134502923977,1884,91.81286549707602,9,0.47770700636942676,1613,85.61571125265392,2,0.10615711252653928,269,14.278131634819532,1615,85.72186836518047,260,13.800424628450106,12.31650522045181,15.431664858826458,9,20434.759746588694,20260.5,5.659608717840782,4.450051516294479,18.213307011127473,2052
xguard,low,23950,23950,1996,22023,91.95407098121086,1927,8.045929018789144,22023,91.95407098121086,354,1.6074104345457023,16558,75.18503382827045,37,0.16800617536212142,5428,24.646959996367436,16595,75.35304000363257,5074,23.039549561821733,22.488144523515622,23.60035835057833,354,20437.558079331942,8411.5,5.821942285914013,4.45369952917099,18.404748558998108,23950
xguard,medium,4284,4284,357,3940,91.97012138188609,344,8.029878618113912,3940,91.97012138188609,10,0.25380710659898476,3390,86.04060913705584,22,0.5583756345177665,528,13.401015228426395,3412,86.5989847715736,518,13.147208121827411,12.127871003475997,14.238337417377522,10,20433.025676937443,20236.0,5.854631798691442,4.450832486152649,18.505645233392716,4284
