agent_model,context_length_name,unsafe_prompt_position,n,mean,median,std,p25,p75,p95
Qwen/Qwen2.5-14B-Instruct,32k,beginning,3190,9.438286240646457,8.741305708885193,3.5718674277205693,8.60903987288475,10.478561490774155,18.04287376403808
Qwen/Qwen2.5-14B-Instruct,32k,end,3190,15.461851926059184,18.2682763338089,7.682332388788069,8.607344448566437,18.70025208592415,34.70300763249397
Qwen/Qwen2.5-14B-Instruct,32k,middle,3188,0.8821959305587347,0.11679327487945557,4.073388120269399,0.10718902945518494,0.12267115712165833,0.6296020746231079
Qwen/Qwen2.5-14B-Instruct,8k,beginning,3190,3.100318905552353,2.8895838260650635,0.7566973244201202,2.810819149017334,3.0960957556962967,4.332420155405997
Qwen/Qwen2.5-14B-Instruct,8k,end,3190,4.534063014939287,4.4748677015304565,0.6661534093703132,4.3893081843853,4.575313627719879,6.064388400316238
Qwen/Qwen2.5-14B-Instruct,8k,middle,3190,4.601698023435838,4.583588778972626,1.0329496538353782,4.291422605514526,5.2492228746414185,6.211664241552351
meta-llama/Llama-3.1-8B-Instruct,32k,beginning,3190,4.661836239760946,4.69541072845459,0.1516297027709732,4.513656854629517,4.7659411281347275,4.833278119564056
meta-llama/Llama-3.1-8B-Instruct,32k,end,3190,11.83555262888487,10.50945234298706,3.23034700621434,10.294885486364365,10.802635699510574,19.739728063344955
meta-llama/Llama-3.1-8B-Instruct,32k,middle,3190,6.499448976770838,4.862491488456726,3.0208364633726803,4.739821821451187,5.869740694761276,14.850500845909117
meta-llama/Llama-3.1-8B-Instruct,8k,beginning,3190,3.436928726886881,3.8419219255447388,0.8407095421412609,3.032379060983658,4.0018419325351715,4.192902356386185
meta-llama/Llama-3.1-8B-Instruct,8k,end,3190,2.1624909432330477,1.9326955080032349,0.44493467690048294,1.858987033367157,2.6807269752025604,2.9942983329296107
meta-llama/Llama-3.1-8B-Instruct,8k,middle,3190,3.2188487117193336,3.8207836151123047,1.1213790807085104,1.8665094077587128,3.9700388312339783,4.200128662586212
