guard_subset,agent_name,context_length_name,unsafe_prompt_position,n,mean,median,std,p25,p75,p95
aprielguard,Llama-3.1-8B,32k,beginning,3190,4.661836239760946,4.69541072845459,0.1516297027709732,4.513656854629517,4.7659411281347275,4.833278119564056
aprielguard,Llama-3.1-8B,32k,end,3190,11.83555262888487,10.50945234298706,3.23034700621434,10.294885486364365,10.802635699510574,19.739728063344955
aprielguard,Llama-3.1-8B,32k,middle,3190,6.499448976770838,4.862491488456726,3.0208364633726803,4.739821821451187,5.869740694761276,14.850500845909117
aprielguard,Llama-3.1-8B,8k,beginning,3190,3.436928726886881,3.8419219255447388,0.8407095421412609,3.032379060983658,4.0018419325351715,4.192902356386185
aprielguard,Llama-3.1-8B,8k,end,3190,2.1624909432330477,1.9326955080032349,0.44493467690048294,1.858987033367157,2.6807269752025604,2.9942983329296107
aprielguard,Llama-3.1-8B,8k,middle,3190,3.2188487117193336,3.8207836151123047,1.1213790807085104,1.8665094077587128,3.9700388312339783,4.200128662586212
aprielguard,Qwen2.5-14B,32k,beginning,3190,9.438286240646457,8.741305708885193,3.5718674277205693,8.60903987288475,10.478561490774155,18.04287376403808
aprielguard,Qwen2.5-14B,32k,end,3190,15.461851926059184,18.2682763338089,7.682332388788069,8.607344448566437,18.70025208592415,34.70300763249397
aprielguard,Qwen2.5-14B,32k,middle,3188,0.8821959305587347,0.11679327487945557,4.073388120269399,0.10718902945518494,0.12267115712165833,0.6296020746231079
aprielguard,Qwen2.5-14B,8k,beginning,3190,3.100318905552353,2.8895838260650635,0.7566973244201202,2.810819149017334,3.0960957556962967,4.332420155405997
aprielguard,Qwen2.5-14B,8k,end,3190,4.534063014939287,4.4748677015304565,0.6661534093703132,4.3893081843853,4.575313627719879,6.064388400316238
aprielguard,Qwen2.5-14B,8k,middle,3190,4.601698023435838,4.583588778972626,1.0329496538353782,4.291422605514526,5.2492228746414185,6.211664241552351
crest,Llama-3.1-8B,32k,beginning,1237,4.661509345497156,4.698822736740112,0.14842495841572334,4.512348651885986,4.760346472263336,4.833411705493927
crest,Llama-3.1-8B,32k,end,1237,11.769124436397753,10.510320544242859,3.15181856328225,10.304630517959595,10.796321511268616,19.73174707889557
crest,Llama-3.1-8B,32k,middle,1237,6.514658624353,4.879435300827026,3.0963846081732673,4.7407426834106445,5.873088121414185,14.95132303237915
crest,Llama-3.1-8B,8k,beginning,1237,3.446557019252207,3.852028250694275,0.8395440319807859,2.997584581375122,4.015601754188538,4.211818337440491
crest,Llama-3.1-8B,8k,end,1237,2.169793981357072,1.9367941617965698,0.4499900904166332,1.8640567064285278,2.704481601715088,3.0099181652069094
crest,Llama-3.1-8B,8k,middle,1237,3.2507198640388544,3.830990195274353,1.103759700121468,1.8748164176940918,3.9815276861190796,4.228039836883545
crest,Qwen2.5-14B,32k,beginning,1237,9.440342245221427,8.73859179019928,3.5285590429248783,8.62966763973236,10.47845470905304,18.037849283218385
crest,Qwen2.5-14B,32k,end,1237,15.361299322320264,18.258396863937378,7.616178596925246,8.608915328979492,18.745761036872864,34.69025654792786
crest,Qwen2.5-14B,32k,middle,1237,0.7371261606509395,0.11666953563690186,3.7929494940832553,0.1068350076675415,0.12271153926849365,0.6002058982849123
crest,Qwen2.5-14B,8k,beginning,1237,3.124673508788273,2.9065192341804504,0.7497772118419591,2.812868893146515,3.6334620118141174,4.343412399291992
crest,Qwen2.5-14B,8k,end,1237,4.577711217328243,4.492940664291382,0.6831630085486955,4.399388432502747,4.596056222915649,6.114783310890198
crest,Qwen2.5-14B,8k,middle,1237,4.620202484493209,4.594273567199707,1.0620394453512387,4.278786659240723,5.372044324874878,6.237217926979065
guardreasoner,Llama-3.1-8B,32k,beginning,102,4.69717388585502,4.698978066444397,0.18743752862222235,4.532441824674606,4.761780261993408,4.922686696052551
guardreasoner,Llama-3.1-8B,32k,end,102,11.458387679913464,10.478582620620728,3.036248654954761,10.238776832818985,10.724713861942291,19.686023068428035
guardreasoner,Llama-3.1-8B,32k,middle,102,6.566432134777892,4.860824644565582,2.916005923811009,4.733149975538254,9.93773365020752,10.64566465616226
guardreasoner,Llama-3.1-8B,8k,beginning,102,3.5367720711464976,3.8792861104011536,0.7608497878231981,3.5398735105991364,4.014115482568741,4.14597270488739
guardreasoner,Llama-3.1-8B,8k,end,102,2.1486595495074403,1.9217321872711182,0.43901247637539775,1.8518409430980682,2.6476686596870422,2.9736925423145295
guardreasoner,Llama-3.1-8B,8k,middle,102,3.307600091485416,3.8187464475631714,1.040145075765868,2.771813601255417,3.9676061272621155,4.126058834791183
guardreasoner,Qwen2.5-14B,32k,beginning,102,9.099726970289268,8.735006868839264,2.3235487600020663,8.66511145234108,10.37764886021614,10.616101378202437
guardreasoner,Qwen2.5-14B,32k,end,102,14.910989839656681,18.275897085666656,7.20111900404519,8.622200757265091,18.60607999563217,33.926350051164505
guardreasoner,Qwen2.5-14B,32k,middle,102,1.1368049067609451,0.1153496503829956,4.672397390396945,0.10697272419929504,0.12191036343574524,0.553864175081248
guardreasoner,Qwen2.5-14B,8k,beginning,102,3.1048594409344243,2.9007016718387604,0.7422463619246013,2.8150964975357056,3.0117015689611435,4.303409042954445
guardreasoner,Qwen2.5-14B,8k,end,102,4.498803377151489,4.469774842262268,0.5648990349546051,4.361558526754379,4.552994400262833,5.948408097028731
guardreasoner,Qwen2.5-14B,8k,middle,102,4.615323806510252,4.602226912975311,1.060148535844181,4.294662058353424,5.38665971159935,6.182407051324844
wildguard,Llama-3.1-8B,32k,beginning,18,4.65827156106631,4.691276490688324,0.13841818613032925,4.5399977415800095,4.777063921093941,4.810927787423134
wildguard,Llama-3.1-8B,32k,end,18,12.539423531956142,10.630521357059479,3.8816958025292183,10.503806233406067,10.760387748479843,19.700887858867645
wildguard,Llama-3.1-8B,32k,middle,18,6.1528602374924555,4.943486869335175,2.797539111386966,4.762785404920578,5.644192010164261,10.822502356767647
wildguard,Llama-3.1-8B,8k,beginning,18,3.3092592623498707,3.6727307438850403,0.9090277992614263,2.86423397064209,3.94110968708992,4.217497998476029
wildguard,Llama-3.1-8B,8k,end,18,2.0195321639378867,1.9017507433891296,0.3496710783779068,1.8178573548793793,1.9972103536128998,2.7610843062400816
wildguard,Llama-3.1-8B,8k,middle,18,2.9147610002093844,3.6745800375938416,1.3496621914008653,1.7804621756076813,3.8896831274032593,4.196821796894073
wildguard,Qwen2.5-14B,32k,beginning,18,10.21466471751531,8.73560494184494,5.695165321449789,8.60240525007248,10.48714491724968,22.64538202881813
wildguard,Qwen2.5-14B,32k,end,18,17.377570198641884,18.202577233314514,9.917472447132191,8.619365483522415,18.594406694173813,34.943048709630965
wildguard,Qwen2.5-14B,32k,middle,18,1.1053573422961764,0.11359822750091553,4.210259352995657,0.1071939766407013,0.1222272515296936,2.802865737676595
wildguard,Qwen2.5-14B,8k,beginning,18,2.879372583495246,2.8819831907749176,0.8762084344737343,2.791287988424301,3.078223630785942,4.309826624393463
wildguard,Qwen2.5-14B,8k,end,18,4.376141773329841,4.4486793875694275,0.8332295967130761,4.383354336023331,4.496658265590668,6.015514051914215
wildguard,Qwen2.5-14B,8k,middle,18,4.627387060059442,4.417069792747498,0.9463611005875534,4.293271750211716,5.3756731152534485,6.072055006027221
xguard,Llama-3.1-8B,32k,beginning,2524,4.66229440517452,4.694248735904694,0.1510959420031129,4.514463171362877,4.764426171779633,4.833115994930267
xguard,Llama-3.1-8B,32k,end,2524,11.794020677330755,10.510574460029602,3.1902255701611546,10.298204958438873,10.79268741607666,19.73651111125946
xguard,Llama-3.1-8B,32k,middle,2524,6.543881022042216,4.8685619831085205,3.0724565994997173,4.740460425615311,5.8855897188186646,14.906349211931227
xguard,Llama-3.1-8B,8k,beginning,2524,3.4502753932766983,3.8490594625473022,0.8359141918411603,3.0542662739753723,4.008317470550537,4.201313376426697
xguard,Llama-3.1-8B,8k,end,2524,2.168982245889972,1.9355632066726685,0.4472620554553384,1.8596374690532684,2.697592258453369,2.998741275072098
xguard,Llama-3.1-8B,8k,middle,2524,3.2334068010423906,3.8254788517951965,1.1144713837561075,1.8795242011547089,3.976004719734192,4.208057987689972
xguard,Qwen2.5-14B,32k,beginning,2524,9.453925963390837,8.742774307727814,3.5110583981189003,8.615559816360474,10.479503512382507,16.966918575763692
xguard,Qwen2.5-14B,32k,end,2524,15.411993096445329,18.271835565567017,7.599299501832208,8.608658283948898,18.70845901966095,34.687775927782056
xguard,Qwen2.5-14B,32k,middle,2522,0.812898703835296,0.11691939830780029,3.8515674899762584,0.10728898644447327,0.12268248200416565,0.607242226600647
xguard,Qwen2.5-14B,8k,beginning,2524,3.1066405677521476,2.8919613361358643,0.7570744428573971,2.811462104320526,3.1024909615516663,4.342213577032089
xguard,Qwen2.5-14B,8k,end,2524,4.541457719215312,4.476818680763245,0.6658859833489036,4.389826655387878,4.580352306365967,6.068870425224304
xguard,Qwen2.5-14B,8k,middle,2524,4.603069387033889,4.586143910884857,1.037791048135145,4.29069247841835,5.288110256195068,6.214547514915466
