k_subset,classifier_name,tier,n,n_roots,n_languages,n_unsafe,n_safe,coverage,unknown_rate,error_rate,accuracy_strict,unsafe_recall_strict,unsafe_recall_conditional,evasion_rate_strict,safe_recall_strict,overrefusal_rate
1,aprielguard,high,606.0,342.0,12.0,606.0,0.0,1.0,0.0,0.0,0.6122112211221122,0.6122112211221122,0.6122112211221122,0.38778877887788776,,
1,aprielguard,low,3658.0,1040.0,65.0,3658.0,0.0,1.0,0.0,0.0,0.3283214871514489,0.3283214871514489,0.3283214871514489,0.6716785128485511,,
1,aprielguard,medium,1139.0,485.0,21.0,1139.0,0.0,1.0,0.0,0.0,0.5627743634767339,0.5627743634767339,0.5627743634767339,0.437225636523266,,
1,crest,high,606.0,342.0,12.0,606.0,0.0,1.0,0.0,0.0,0.7491749174917491,0.7491749174917491,0.7491749174917491,0.2508250825082508,,
1,crest,low,3658.0,1040.0,65.0,3658.0,0.0,1.0,0.0,0.0,0.7167851284855112,0.7167851284855112,0.7167851284855112,0.28321487151448876,,
1,crest,medium,1139.0,485.0,21.0,1139.0,0.0,1.0,0.0,0.0,0.7901668129938543,0.7901668129938543,0.7901668129938543,0.20983318700614575,,
1,guardreasoner,high,606.0,342.0,12.0,606.0,0.0,0.26567656765676567,0.7343234323432343,0.0,0.132013201320132,0.132013201320132,0.4968944099378882,0.8679867986798679,,
1,guardreasoner,low,3658.0,1040.0,65.0,3658.0,0.0,0.5956806998359759,0.40431930016402406,0.0,0.5410060142154183,0.5410060142154183,0.9082147774208352,0.4589939857845817,,
1,guardreasoner,medium,1139.0,485.0,21.0,1139.0,0.0,0.2897278314310799,0.7102721685689201,0.0,0.17120280948200176,0.17120280948200176,0.5909090909090909,0.8287971905179983,,
1,wildguard,high,606.0,342.0,12.0,606.0,0.0,1.0,0.0,0.0,0.933993399339934,0.933993399339934,0.933993399339934,0.066006600660066,,
1,wildguard,low,3658.0,1040.0,65.0,3658.0,0.0,1.0,0.0,0.0,0.9830508474576272,0.9830508474576272,0.9830508474576272,0.01694915254237288,,
1,wildguard,medium,1139.0,485.0,21.0,1139.0,0.0,1.0,0.0,0.0,0.9719051799824407,0.9719051799824407,0.9719051799824407,0.028094820017559263,,
1,xguard,high,606.0,342.0,12.0,606.0,0.0,1.0,0.0,0.0,0.665016501650165,0.665016501650165,0.665016501650165,0.334983498349835,,
1,xguard,low,3658.0,1040.0,65.0,3658.0,0.0,0.9991798797156917,0.0008201202843083652,0.0,0.31875341716785127,0.31875341716785127,0.319015047879617,0.6812465828321487,,
1,xguard,medium,1139.0,485.0,21.0,1139.0,0.0,1.0,0.0,0.0,0.5671641791044776,0.5671641791044776,0.5671641791044776,0.43283582089552236,,
