k_subset,classifier_name,quality_bucket,n,n_roots,n_languages,n_unsafe,n_safe,coverage,unknown_rate,error_rate,accuracy_strict,unsafe_recall_strict,unsafe_recall_conditional,evasion_rate_strict,safe_recall_strict,overrefusal_rate
1,aprielguard,gold,300.0,143.0,23.0,300.0,0.0,1.0,0.0,0.0,0.23333333333333334,0.23333333333333334,0.23333333333333334,0.7666666666666667,,
1,aprielguard,high_quality,1570.0,365.0,96.0,1570.0,0.0,1.0,0.0,0.0,0.46114649681528663,0.46114649681528663,0.46114649681528663,0.5388535031847134,,
1,aprielguard,low_quality,1792.0,722.0,98.0,1792.0,0.0,1.0,0.0,0.0,0.40345982142857145,0.40345982142857145,0.40345982142857145,0.5965401785714286,,
1,aprielguard,standard_quality,1741.0,653.0,98.0,1741.0,0.0,1.0,0.0,0.0,0.39977024698449165,0.39977024698449165,0.39977024698449165,0.6002297530155083,,
1,crest,gold,300.0,143.0,23.0,300.0,0.0,1.0,0.0,0.0,0.57,0.57,0.57,0.43,,
1,crest,high_quality,1570.0,365.0,96.0,1570.0,0.0,1.0,0.0,0.0,0.7834394904458599,0.7834394904458599,0.7834394904458599,0.21656050955414013,,
1,crest,low_quality,1792.0,722.0,98.0,1792.0,0.0,1.0,0.0,0.0,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.2857142857142857,,
1,crest,standard_quality,1741.0,653.0,98.0,1741.0,0.0,1.0,0.0,0.0,0.7438253877082137,0.7438253877082137,0.7438253877082137,0.25617461229178634,,
1,guardreasoner,gold,300.0,143.0,23.0,300.0,0.0,0.6433333333333333,0.3566666666666667,0.0,0.61,0.61,0.9481865284974094,0.39,,
1,guardreasoner,high_quality,1570.0,365.0,96.0,1570.0,0.0,0.4496815286624204,0.5503184713375796,0.0,0.36242038216560507,0.36242038216560507,0.8059490084985835,0.6375796178343949,,
1,guardreasoner,low_quality,1792.0,722.0,98.0,1792.0,0.0,0.5022321428571429,0.49776785714285715,0.0,0.42745535714285715,0.42745535714285715,0.8511111111111112,0.5725446428571429,,
1,guardreasoner,standard_quality,1741.0,653.0,98.0,1741.0,0.0,0.5002871912693854,0.4997128087306146,0.0,0.42274554853532453,0.42274554853532453,0.8450057405281286,0.5772544514646755,,
1,wildguard,gold,300.0,143.0,23.0,300.0,0.0,1.0,0.0,0.0,0.97,0.97,0.97,0.03,,
1,wildguard,high_quality,1570.0,365.0,96.0,1570.0,0.0,1.0,0.0,0.0,0.9726114649681529,0.9726114649681529,0.9726114649681529,0.027388535031847135,,
1,wildguard,low_quality,1792.0,722.0,98.0,1792.0,0.0,1.0,0.0,0.0,0.9748883928571429,0.9748883928571429,0.9748883928571429,0.025111607142857144,,
1,wildguard,standard_quality,1741.0,653.0,98.0,1741.0,0.0,1.0,0.0,0.0,0.9787478460654796,0.9787478460654796,0.9787478460654796,0.02125215393452039,,
1,xguard,gold,300.0,143.0,23.0,300.0,0.0,1.0,0.0,0.0,0.31666666666666665,0.31666666666666665,0.31666666666666665,0.6833333333333333,,
1,xguard,high_quality,1570.0,365.0,96.0,1570.0,0.0,1.0,0.0,0.0,0.4535031847133758,0.4535031847133758,0.4535031847133758,0.5464968152866242,,
1,xguard,low_quality,1792.0,722.0,98.0,1792.0,0.0,0.9983258928571429,0.0016741071428571428,0.0,0.38783482142857145,0.38783482142857145,0.38848518725544995,0.6121651785714286,,
1,xguard,standard_quality,1741.0,653.0,98.0,1741.0,0.0,1.0,0.0,0.0,0.40953475014359564,0.40953475014359564,0.40953475014359564,0.5904652498564044,,
