k_subset,classifier_name,outcome,normalization_source,n
1,aprielguard,safe,fallback_nested_classifier,3190
1,aprielguard,unsafe,fallback_nested_classifier,2213
1,crest,safe,fallback_nested_classifier,1427
1,crest,unsafe,fallback_nested_classifier,3976
1,guardreasoner,safe,fallback_nested_classifier,416
1,guardreasoner,unknown,fallback_nested_classifier,2733
1,guardreasoner,unsafe,fallback_nested_classifier,2254
1,wildguard,safe,fallback_nested_classifier,134
1,wildguard,unsafe,fallback_nested_classifier,5269
1,xguard,safe,fallback_nested_classifier,3185
1,xguard,unknown,fallback_nested_classifier,3
1,xguard,unsafe,fallback_nested_classifier,2215
