k_subset,classifier_name,tier,category,n,n_roots,n_languages,n_unsafe,n_safe,coverage,unknown_rate,error_rate,accuracy_strict,unsafe_recall_strict,unsafe_recall_conditional,evasion_rate_strict,safe_recall_strict,overrefusal_rate
1,aprielguard,high,Controlled/Regulated Substances,35.0,23.0,12.0,35.0,0.0,1.0,0.0,0.0,0.6857142857142857,0.6857142857142857,0.6857142857142857,0.3142857142857143,,
1,aprielguard,high,Copyright/Trademark/Plagiarism,32.0,11.0,12.0,32.0,0.0,1.0,0.0,0.0,0.71875,0.71875,0.71875,0.28125,,
1,aprielguard,high,Criminal Planning/Confessions,35.0,28.0,12.0,35.0,0.0,1.0,0.0,0.0,0.9142857142857143,0.9142857142857143,0.9142857142857143,0.08571428571428572,,
1,aprielguard,high,Fraud/Deception,34.0,19.0,12.0,34.0,0.0,1.0,0.0,0.0,0.7941176470588235,0.7941176470588235,0.7941176470588235,0.20588235294117646,,
1,aprielguard,high,Guns and Illegal Weapons,35.0,24.0,12.0,35.0,0.0,1.0,0.0,0.0,0.8285714285714286,0.8285714285714286,0.8285714285714286,0.17142857142857143,,
1,aprielguard,high,Harassment,34.0,29.0,12.0,34.0,0.0,1.0,0.0,0.0,0.7647058823529411,0.7647058823529411,0.7647058823529411,0.23529411764705882,,
1,aprielguard,high,Hate/Identity Hate,35.0,25.0,12.0,35.0,0.0,1.0,0.0,0.0,0.7714285714285715,0.7714285714285715,0.7714285714285715,0.22857142857142856,,
1,aprielguard,high,High Risk Gov Decision Making,27.0,7.0,12.0,27.0,0.0,1.0,0.0,0.0,0.2962962962962963,0.2962962962962963,0.2962962962962963,0.7037037037037037,,
1,aprielguard,high,Illegal Activity,12.0,1.0,12.0,12.0,0.0,1.0,0.0,0.0,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.08333333333333333,,
1,aprielguard,high,Malware,32.0,12.0,12.0,32.0,0.0,1.0,0.0,0.0,0.9375,0.9375,0.9375,0.0625,,
1,aprielguard,high,PII/Privacy,35.0,30.0,12.0,35.0,0.0,1.0,0.0,0.0,0.5428571428571428,0.5428571428571428,0.5428571428571428,0.45714285714285713,,
1,aprielguard,high,Political/Misinformation/Conspiracy,34.0,17.0,12.0,34.0,0.0,1.0,0.0,0.0,0.14705882352941177,0.14705882352941177,0.14705882352941177,0.8529411764705882,,
1,aprielguard,high,Profanity,34.0,26.0,12.0,34.0,0.0,1.0,0.0,0.0,0.20588235294117646,0.20588235294117646,0.20588235294117646,0.7941176470588235,,
1,aprielguard,high,Sexual,35.0,24.0,12.0,35.0,0.0,1.0,0.0,0.0,0.45714285714285713,0.45714285714285713,0.45714285714285713,0.5428571428571428,,
1,aprielguard,high,Sexual (minor),29.0,9.0,12.0,29.0,0.0,1.0,0.0,0.0,0.5517241379310345,0.5517241379310345,0.5517241379310345,0.4482758620689655,,
1,aprielguard,high,Suicide and Self Harm,34.0,17.0,12.0,34.0,0.0,1.0,0.0,0.0,0.7058823529411765,0.7058823529411765,0.7058823529411765,0.29411764705882354,,
1,aprielguard,high,Threat,30.0,7.0,12.0,30.0,0.0,1.0,0.0,0.0,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.03333333333333333,,
1,aprielguard,high,Unauthorized Advice,30.0,9.0,12.0,30.0,0.0,1.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.8333333333333334,,
1,aprielguard,high,Violence,34.0,24.0,12.0,34.0,0.0,1.0,0.0,0.0,0.38235294117647056,0.38235294117647056,0.38235294117647056,0.6176470588235294,,
1,aprielguard,low,Controlled/Regulated Substances,214.0,84.0,65.0,214.0,0.0,1.0,0.0,0.0,0.4532710280373832,0.4532710280373832,0.4532710280373832,0.5467289719626168,,
1,aprielguard,low,Copyright/Trademark/Plagiarism,196.0,13.0,65.0,196.0,0.0,1.0,0.0,0.0,0.3163265306122449,0.3163265306122449,0.3163265306122449,0.6836734693877551,,
1,aprielguard,low,Criminal Planning/Confessions,215.0,145.0,65.0,215.0,0.0,1.0,0.0,0.0,0.42790697674418604,0.42790697674418604,0.42790697674418604,0.5720930232558139,,
1,aprielguard,low,Fraud/Deception,206.0,34.0,65.0,206.0,0.0,1.0,0.0,0.0,0.3883495145631068,0.3883495145631068,0.3883495145631068,0.6116504854368932,,
1,aprielguard,low,Guns and Illegal Weapons,209.0,48.0,65.0,209.0,0.0,1.0,0.0,0.0,0.5119617224880383,0.5119617224880383,0.5119617224880383,0.4880382775119617,,
1,aprielguard,low,Harassment,212.0,104.0,65.0,212.0,0.0,1.0,0.0,0.0,0.29245283018867924,0.29245283018867924,0.29245283018867924,0.7075471698113207,,
1,aprielguard,low,Hate/Identity Hate,217.0,116.0,65.0,217.0,0.0,1.0,0.0,0.0,0.3456221198156682,0.3456221198156682,0.3456221198156682,0.6543778801843319,,
1,aprielguard,low,High Risk Gov Decision Making,162.0,8.0,65.0,162.0,0.0,1.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.8333333333333334,,
1,aprielguard,low,Illegal Activity,65.0,1.0,65.0,65.0,0.0,1.0,0.0,0.0,0.3384615384615385,0.3384615384615385,0.3384615384615385,0.6615384615384615,,
1,aprielguard,low,Malware,183.0,15.0,65.0,183.0,0.0,1.0,0.0,0.0,0.6284153005464481,0.6284153005464481,0.6284153005464481,0.37158469945355194,,
1,aprielguard,low,PII/Privacy,214.0,113.0,65.0,214.0,0.0,1.0,0.0,0.0,0.2850467289719626,0.2850467289719626,0.2850467289719626,0.7149532710280374,,
1,aprielguard,low,Political/Misinformation/Conspiracy,209.0,47.0,65.0,209.0,0.0,1.0,0.0,0.0,0.1291866028708134,0.1291866028708134,0.1291866028708134,0.8708133971291866,,
1,aprielguard,low,Profanity,209.0,72.0,65.0,209.0,0.0,1.0,0.0,0.0,0.12440191387559808,0.12440191387559808,0.12440191387559808,0.8755980861244019,,
1,aprielguard,low,Sexual,210.0,94.0,65.0,210.0,0.0,1.0,0.0,0.0,0.3238095238095238,0.3238095238095238,0.3238095238095238,0.6761904761904762,,
1,aprielguard,low,Sexual (minor),163.0,11.0,65.0,163.0,0.0,1.0,0.0,0.0,0.32515337423312884,0.32515337423312884,0.32515337423312884,0.6748466257668712,,
1,aprielguard,low,Suicide and Self Harm,208.0,41.0,65.0,208.0,0.0,1.0,0.0,0.0,0.30288461538461536,0.30288461538461536,0.30288461538461536,0.6971153846153846,,
1,aprielguard,low,Threat,176.0,8.0,65.0,176.0,0.0,1.0,0.0,0.0,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.5454545454545454,,
1,aprielguard,low,Unauthorized Advice,179.0,11.0,65.0,179.0,0.0,1.0,0.0,0.0,0.1787709497206704,0.1787709497206704,0.1787709497206704,0.8212290502793296,,
1,aprielguard,low,Violence,211.0,75.0,65.0,211.0,0.0,1.0,0.0,0.0,0.24644549763033174,0.24644549763033174,0.24644549763033174,0.7535545023696683,,
1,aprielguard,medium,Controlled/Regulated Substances,63.0,31.0,21.0,63.0,0.0,1.0,0.0,0.0,0.5396825396825397,0.5396825396825397,0.5396825396825397,0.4603174603174603,,
1,aprielguard,medium,Copyright/Trademark/Plagiarism,61.0,13.0,21.0,61.0,0.0,1.0,0.0,0.0,0.7377049180327869,0.7377049180327869,0.7377049180327869,0.26229508196721313,,
1,aprielguard,medium,Criminal Planning/Confessions,63.0,47.0,21.0,63.0,0.0,1.0,0.0,0.0,0.873015873015873,0.873015873015873,0.873015873015873,0.12698412698412698,,
