classifier_a,classifier_b,n_matched,n_valid_both,raw_agreement,cohens_kappa,a_unsafe_b_safe,a_safe_b_unsafe
aprielguard,aprielguard,5403,5403,1.0,1.0,0.0,0.0
aprielguard,crest,5403,5403,0.603368498982047,0.2690901322996193,0.03516564871367759,0.3614658523042754
aprielguard,guardreasoner,5403,2670,0.2393258426966292,-0.2174941322960133,0.11760299625468165,0.6430711610486891
aprielguard,wildguard,5403,5403,0.3914491948917268,-0.03861008104695735,0.02146955395150842,0.5870812511567648
aprielguard,xguard,5403,5400,0.7548148148148148,0.49320969320813385,0.12240740740740741,0.12277777777777778
crest,crest,5403,5403,1.0,1.0,0.0,0.0
crest,guardreasoner,5403,2670,0.604494382022472,-0.1428182317835373,0.13745318352059926,0.2580524344569288
crest,wildguard,5403,5403,0.7151582454192116,-0.03273491746471254,0.022765130483064965,0.2620766240977235
crest,xguard,5403,5400,0.5711111111111111,0.20929394471051257,0.3774074074074074,0.05148148148148148
guardreasoner,guardreasoner,5403,2670,1.0,1.0,0.0,0.0
guardreasoner,wildguard,5403,2670,0.8445692883895131,0.0686730198007315,0.007865168539325843,0.14756554307116104
guardreasoner,xguard,5403,2668,0.2563718140929535,-0.1891320678760518,0.6349325337331334,0.10869565217391304
wildguard,wildguard,5403,5403,1.0,1.0,0.0,0.0
wildguard,xguard,5403,5400,0.39425925925925925,-0.03482215147676905,0.5853703703703703,0.020370370370370372
xguard,xguard,5403,5400,1.0,1.0,0.0,0.0
