k_subset,classifier_name,quality_score,n,spearman_rho,p_value
1,aprielguard,f1,5403,0.03126001653769457,0.021573142768993227
1,aprielguard,comet,4081,0.0500528078743365,0.0013812822061349168
1,aprielguard,combined_score,5403,0.03813984185101696,0.00504972688005405
1,crest,f1,5403,0.08583492985211717,2.623928063509851e-10
1,crest,comet,4081,-0.007431530485109242,0.6350668387869879
1,crest,combined_score,5403,0.056064665021868076,3.7343639236468566e-05
1,guardreasoner,f1,5403,-0.0417925976762493,0.002122021966118253
1,guardreasoner,comet,4081,-0.06475378123416652,3.47723300114228e-05
1,guardreasoner,combined_score,5403,-0.043568170735688694,0.0013587991962873628
1,wildguard,f1,5403,-0.031390227818953224,0.021033835147365818
1,wildguard,comet,4081,-0.007156867170034143,0.6476237308869444
1,wildguard,combined_score,5403,-0.010586658741887023,0.4365600655000581
1,xguard,f1,5403,0.07850823127078524,7.54411164927409e-09
1,xguard,comet,4081,0.01599253313523079,0.30706561905696533
1,xguard,combined_score,5403,0.06349111416510084,3.003892272657306e-06
