language,mean_recall,mean_unknown_rate,guards
Tajik,0.44117647058823534,0.052941176470588235,5
Ganda,0.47619047619047616,0.04444444444444444,5
Nyanja,0.49230769230769234,0.036923076923076927,5
Luo,0.4967741935483871,0.04838709677419355,5
Yoruba,0.4984126984126984,0.053968253968253964,5
Welsh,0.5037037037037038,0.0962962962962963,5
Fula,0.5163636363636364,0.061818181818181814,5
Sorani Kurdish,0.5199999999999999,0.06,5
Igbo,0.52,0.05846153846153847,5
Northern Sotho,0.52,0.02153846153846154,5
Icelandic,0.5269230769230769,0.10384615384615385,5
Hausa,0.5297297297297298,0.04864864864864865,5
Maori,0.5313432835820896,0.035820895522388055,5
Lingala,0.5333333333333333,0.030303030303030304,5
Somali,0.5333333333333333,0.02564102564102564,5
