category,mean_recall,min_recall,max_recall,guardrail_gap
Controlled/Regulated Substances,0.6237179487179487,0.36217948717948717,0.967948717948718,0.6057692307692308
Copyright/Trademark/Plagiarism,0.6089965397923875,0.38408304498269896,0.9896193771626297,0.6055363321799307
Criminal Planning/Confessions,0.6638977635782748,0.40894568690095845,0.9648562300319489,0.5559105431309904
Fraud/Deception,0.6468646864686469,0.43564356435643564,0.966996699669967,0.5313531353135315
Guns and Illegal Weapons,0.6749185667752443,0.36807817589576547,0.9869706840390879,0.6188925081433225
Harassment,0.631715210355987,0.39805825242718446,0.9773462783171522,0.5792880258899678
Hate/Identity Hate,0.6431746031746031,0.4603174603174603,0.9333333333333333,0.47301587301587306
High Risk Gov Decision Making,0.4526748971193416,0.20987654320987653,0.9876543209876543,0.7777777777777777
Illegal Activity,0.5571428571428572,0.25510204081632654,0.9897959183673469,0.7346938775510203
Malware,0.6938628158844765,0.33574007220216606,0.9819494584837545,0.6462093862815884
PII/Privacy,0.558974358974359,0.34935897435897434,0.9807692307692307,0.6314102564102564
Political/Misinformation/Conspiracy,0.4333333333333333,0.13071895424836602,0.9836601307189542,0.8529411764705882
Profanity,0.5058823529411764,0.1568627450980392,0.9934640522875817,0.8366013071895425
Sexual,0.601948051948052,0.3538961038961039,0.9772727272727273,0.6233766233766234
Sexual (minor),0.592885375494071,0.3675889328063241,0.9486166007905138,0.5810276679841897
Suicide and Self Harm,0.582295081967213,0.38688524590163936,0.9737704918032787,0.5868852459016394
Threat,0.6768656716417911,0.47761194029850745,0.9514925373134329,0.4738805970149254
Unauthorized Advice,0.4398523985239852,0.16236162361623616,1.0,0.8376383763837638
Violence,0.5642857142857143,0.3181818181818182,0.9837662337662337,0.6655844155844155
